time, tf_x, tf_y, tf_z, loc_x, loc_y, loc_z, vel_x, vel_y, vel_z, velr_x, velr_y, velr_z, shortDist, control_mode, ttc, joy_x, joy_y, joy_z, joy_yaw, traj_futura
16.019,-0.0873101,-0.15798,1.10834,-0.0873101,-0.15798,1.10834,0.496998,0.116626,-0.0795937,0.503268,0.116278,0.0119836,1000,0,2,1,0.251236,-0,-0,[{16.095:[-0.0376104;-0.146318;1.10039]}+{16.195:[0.0120894;-0.134655;1.09243]}+{16.295:[0.0617891;-0.122993;1.08447]}+{16.395:[0.111489;-0.11133;1.07651]}+{16.495:[0.161189;-0.0996675;1.06855]}+{16.595:[0.210888;-0.0880049;1.06059]}+{16.695:[0.260588;-0.0763424;1.05263]}+{16.795:[0.310288;-0.0646798;1.04467]}+{16.895:[0.359988;-0.0530173;1.03671]}+{16.995:[0.409687;-0.0413547;1.02875]}+{17.095:[0.459387;-0.0296922;1.02079]}+{17.195:[0.509087;-0.0180296;1.01283]}+{17.295:[0.558787;-0.00636704;1.00487]}+{17.395:[0.608486;0.00529552;0.996913]}+{17.495:[0.658186;0.0169581;0.988954]}+{17.595:[0.707886;0.0286206;0.980995]}+{17.695:[0.757586;0.0402832;0.973035]}+{17.795:[0.807285;0.0519457;0.965076]}+{17.895:[0.856985;0.0636083;0.957117]}+{17.995:[0.906685;0.0752709;0.949157]}+],
16.02,-0.0873101,-0.15798,1.10834,-0.0873101,-0.15798,1.10834,0.496998,0.116626,-0.0795937,0.503268,0.116278,0.0119836,1000,0,2,1,0.251236,-0,-0,[{16.095:[-0.0376104;-0.146318;1.10039]}+{16.195:[0.0120894;-0.134655;1.09243]}+{16.295:[0.0617891;-0.122993;1.08447]}+{16.395:[0.111489;-0.11133;1.07651]}+{16.495:[0.161189;-0.0996675;1.06855]}+{16.595:[0.210888;-0.0880049;1.06059]}+{16.695:[0.260588;-0.0763424;1.05263]}+{16.795:[0.310288;-0.0646798;1.04467]}+{16.895:[0.359988;-0.0530173;1.03671]}+{16.995:[0.409687;-0.0413547;1.02875]}+{17.095:[0.459387;-0.0296922;1.02079]}+{17.195:[0.509087;-0.0180296;1.01283]}+{17.295:[0.558787;-0.00636704;1.00487]}+{17.395:[0.608486;0.00529552;0.996913]}+{17.495:[0.658186;0.0169581;0.988954]}+{17.595:[0.707886;0.0286206;0.980995]}+{17.695:[0.757586;0.0402832;0.973035]}+{17.795:[0.807285;0.0519457;0.965076]}+{17.895:[0.856985;0.0636083;0.957117]}+{17.995:[0.906685;0.0752709;0.949157]}+],
16.025,-0.0664045,-0.153326,1.10883,-0.0873101,-0.15798,1.10834,0.534118,0.124229,-0.0791532,0.539749,0.123637,0.0191246,1000,0,2,1,0.251236,-0,-0,[{16.119:[-0.0338983;-0.145557;1.10043]}+{16.219:[0.0195135;-0.133134;1.09251]}+{16.319:[0.0729254;-0.120711;1.0846]}+{16.419:[0.126337;-0.108288;1.07668]}+{16.519:[0.179749;-0.0958655;1.06877]}+{16.619:[0.233161;-0.0834426;1.06085]}+{16.719:[0.286573;-0.0710196;1.05294]}+{16.819:[0.339985;-0.0585967;1.04502]}+{16.919:[0.393396;-0.0461737;1.03711]}+{17.019:[0.446808;-0.0337508;1.02919]}+{17.119:[0.50022;-0.0213278;1.02128]}+{17.219:[0.553632;-0.00890487;1.01336]}+{17.319:[0.607044;0.00351808;1.00545]}+{17.419:[0.660456;0.015941;0.99753]}+{17.519:[0.713867;0.028364;0.989615]}+{17.619:[0.767279;0.0407869;0.9817]}+{17.719:[0.820691;0.0532099;0.973784]}+{17.819:[0.874103;0.0656328;0.965869]}+{17.919:[0.927515;0.0780558;0.957954]}+],
16.031,-0.0664045,-0.153326,1.10883,-0.0873101,-0.15798,1.10834,0.5513,0.126532,-0.0729087,0.555918,0.126264,0.0164374,1000,0,2,1,0.251236,-0,-0,[{16.124:[-0.0321801;-0.145327;1.10105]}+{16.224:[0.0229499;-0.132674;1.09376]}+{16.324:[0.0780799;-0.120021;1.08647]}+{16.424:[0.13321;-0.107367;1.07918]}+{16.524:[0.18834;-0.0947142;1.07189]}+{16.624:[0.24347;-0.082061;1.0646]}+{16.724:[0.2986;-0.0694078;1.05731]}+{16.824:[0.35373;-0.0567546;1.05002]}+{16.924:[0.40886;-0.0441014;1.04273]}+{17.024:[0.46399;-0.0314482;1.03544]}+{17.124:[0.51912;-0.018795;1.02814]}+{17.224:[0.57425;-0.00614181;1.02085]}+{17.324:[0.62938;0.00651139;1.01356]}+{17.424:[0.68451;0.0191646;1.00627]}+{17.524:[0.73964;0.0318178;0.998982]}+{17.624:[0.79477;0.044471;0.991691]}+{17.724:[0.8499;0.0571242;0.9844]}+{17.824:[0.90503;0.0697774;0.977109]}+{17.924:[0.96016;0.0824306;0.969818]}+],
16.035,-0.0664045,-0.153326,1.10883,-0.0873101,-0.15798,1.10834,0.5513,0.126532,-0.0729087,0.555918,0.126264,0.0164374,1000,0,2,1,0.251236,-0,-0,[{16.124:[-0.0321801;-0.145327;1.10105]}+{16.224:[0.0229499;-0.132674;1.09376]}+{16.324:[0.0780799;-0.120021;1.08647]}+{16.424:[0.13321;-0.107367;1.07918]}+{16.524:[0.18834;-0.0947142;1.07189]}+{16.624:[0.24347;-0.082061;1.0646]}+{16.724:[0.2986;-0.0694078;1.05731]}+{16.824:[0.35373;-0.0567546;1.05002]}+{16.924:[0.40886;-0.0441014;1.04273]}+{17.024:[0.46399;-0.0314482;1.03544]}+{17.124:[0.51912;-0.018795;1.02814]}+{17.224:[0.57425;-0.00614181;1.02085]}+{17.324:[0.62938;0.00651139;1.01356]}+{17.424:[0.68451;0.0191646;1.00627]}+{17.524:[0.73964;0.0318178;0.998982]}+{17.624:[0.79477;0.044471;0.991691]}+{17.724:[0.8499;0.0571242;0.9844]}+{17.824:[0.90503;0.0697774;0.977109]}+{17.924:[0.96016;0.0824306;0.969818]}+],
16.04,-0.0664045,-0.153326,1.10883,-0.0664045,-0.153326,1.10883,0.560437,0.130399,-0.096387,0.568616,0.130582,-0.00297314,1000,0,2,1,0.251236,-0,-0,[{16.135:[-0.0103608;-0.140286;1.09919]}+{16.235:[0.045683;-0.127246;1.08955]}+{16.335:[0.101727;-0.114206;1.07991]}+{16.435:[0.15777;-0.101166;1.07027]}+{16.535:[0.213814;-0.0881264;1.06063]}+{16.635:[0.269858;-0.0750865;1.05099]}+{16.735:[0.325902;-0.0620466;1.04136]}+{16.835:[0.381945;-0.0490067;1.03172]}+{16.935:[0.437989;-0.0359668;1.02208]}+{17.035:[0.494033;-0.0229269;1.01244]}+{17.135:[0.550077;-0.00988705;1.0028]}+{17.235:[0.60612;0.00315284;0.993162]}+{17.335:[0.662164;0.0161927;0.983523]}+{17.435:[0.718208;0.0292326;0.973884]}+{17.535:[0.774252;0.0422725;0.964245]}+{17.635:[0.830295;0.0553124;0.954607]}+{17.735:[0.886339;0.0683523;0.944968]}+{17.835:[0.942383;0.0813922;0.935329]}+{17.935:[0.998427;0.0944321;0.925691]}+],
16.046,-0.0664045,-0.153326,1.10883,-0.0664045,-0.153326,1.10883,0.560437,0.130399,-0.096387,0.568616,0.130582,-0.00297314,1000,0,2,1,0.251236,-0,-0,[{16.135:[-0.0103608;-0.140286;1.09919]}+{16.235:[0.045683;-0.127246;1.08955]}+{16.335:[0.101727;-0.114206;1.07991]}+{16.435:[0.15777;-0.101166;1.07027]}+{16.535:[0.213814;-0.0881264;1.06063]}+{16.635:[0.269858;-0.0750865;1.05099]}+{16.735:[0.325902;-0.0620466;1.04136]}+{16.835:[0.381945;-0.0490067;1.03172]}+{16.935:[0.437989;-0.0359668;1.02208]}+{17.035:[0.494033;-0.0229269;1.01244]}+{17.135:[0.550077;-0.00988705;1.0028]}+{17.235:[0.60612;0.00315284;0.993162]}+{17.335:[0.662164;0.0161927;0.983523]}+{17.435:[0.718208;0.0292326;0.973884]}+{17.535:[0.774252;0.0422725;0.964245]}+{17.635:[0.830295;0.0553124;0.954607]}+{17.735:[0.886339;0.0683523;0.944968]}+{17.835:[0.942383;0.0813922;0.935329]}+{17.935:[0.998427;0.0944321;0.925691]}+],
16.05,-0.0664045,-0.153326,1.10883,-0.0664045,-0.153326,1.10883,0.58237,0.132722,-0.0809775,0.587867,0.132508,0.0134368,1000,0,2,1,0.251236,-0,-0,[{16.144:[-0.00816755;-0.140054;1.10073]}+{16.244:[0.0500694;-0.126781;1.09263]}+{16.344:[0.108306;-0.113509;1.08453]}+{16.444:[0.166543;-0.100237;1.07643]}+{16.544:[0.22478;-0.0869649;1.06834]}+{16.644:[0.283017;-0.0736927;1.06024]}+{16.744:[0.341254;-0.0604205;1.05214]}+{16.844:[0.399491;-0.0471484;1.04404]}+{16.944:[0.457728;-0.0338762;1.03595]}+{17.044:[0.515965;-0.020604;1.02785]}+{17.144:[0.574202;-0.00733178;1.01975]}+{17.244:[0.632439;0.00594041;1.01165]}+{17.344:[0.690676;0.0192126;1.00356]}+{17.444:[0.748913;0.0324848;0.995458]}+{17.544:[0.80715;0.045757;0.98736]}+{17.644:[0.865387;0.0590292;0.979262]}+{17.744:[0.923624;0.0723014;0.971164]}+{17.844:[0.981861;0.0855735;0.963067]}+{17.944:[1.0401;0.0988457;0.954969]}+],
16.058,-0.0490124,-0.149478,1.10897,-0.0664045,-0.153326,1.10883,0.58237,0.132722,-0.0809775,0.587867,0.132508,0.0134368,1000,0,2,1,0.251236,-0,-0,[{16.15:[-0.00816755;-0.140054;1.10073]}+{16.25:[0.0500694;-0.126781;1.09263]}+{16.35:[0.108306;-0.113509;1.08453]}+{16.45:[0.166543;-0.100237;1.07643]}+{16.55:[0.22478;-0.0869649;1.06834]}+{16.65:[0.283017;-0.0736927;1.06024]}+{16.75:[0.341254;-0.0604205;1.05214]}+{16.85:[0.399491;-0.0471484;1.04404]}+{16.95:[0.457728;-0.0338762;1.03595]}+{17.05:[0.515965;-0.020604;1.02785]}+{17.15:[0.574202;-0.00733178;1.01975]}+{17.25:[0.632439;0.00594041;1.01165]}+{17.35:[0.690676;0.0192126;1.00356]}+{17.45:[0.748913;0.0324848;0.995458]}+{17.55:[0.80715;0.045757;0.98736]}+{17.65:[0.865387;0.0590292;0.979262]}+{17.75:[0.923624;0.0723014;0.971164]}+{17.85:[0.981861;0.0855735;0.963067]}+{17.95:[1.0401;0.0988457;0.954969]}+],
16.06,-0.0490124,-0.149478,1.10897,-0.0490124,-0.149478,1.10897,0.596094,0.135832,-0.0841652,0.602006,0.135763,0.00435489,1000,0,2,1,0.251236,-0,-0,[{16.153:[0.010597;-0.135895;1.10055]}+{16.253:[0.0702064;-0.122312;1.09214]}+{16.353:[0.129816;-0.108728;1.08372]}+{16.453:[0.189425;-0.0951451;1.0753]}+{16.553:[0.249035;-0.0815619;1.06689]}+{16.653:[0.308644;-0.0679787;1.05847]}+{16.753:[0.368253;-0.0543954;1.05005]}+{16.853:[0.427863;-0.0408122;1.04164]}+{16.953:[0.487472;-0.027229;1.03322]}+{17.053:[0.547082;-0.0136458;1.0248]}+{17.153:[0.606691;-6.25335e-05;1.01639]}+{17.253:[0.666301;0.0135207;1.00797]}+{17.353:[0.72591;0.0271039;0.999555]}+{17.453:[0.785519;0.0406872;0.991138]}+{17.553:[0.845129;0.0542704;0.982722]}+{17.653:[0.904738;0.0678536;0.974305]}+{17.753:[0.964348;0.0814368;0.965889]}+{17.853:[1.02396;0.0950201;0.957472]}+{17.953:[1.08357;0.108603;0.949056]}+],
16.065,-0.0429047,-0.148131,1.109,-0.0490124,-0.149478,1.10897,0.61237,0.13798,-0.0813297,0.61773,0.137877,0.00709465,1000,0,2,1,0.251236,-0,-0,[{16.16:[0.0122246;-0.13568;1.10084]}+{16.26:[0.0734617;-0.121882;1.0927]}+{16.36:[0.134699;-0.108084;1.08457]}+{16.46:[0.195936;-0.0942861;1.07644]}+{16.56:[0.257173;-0.0804881;1.0683]}+{16.66:[0.31841;-0.0666901;1.06017]}+{16.76:[0.379647;-0.0528921;1.05204]}+{16.86:[0.440884;-0.0390941;1.04391]}+{16.96:[0.502121;-0.0252961;1.03577]}+{17.06:[0.563358;-0.0114981;1.02764]}+{17.16:[0.624595;0.00229986;1.01951]}+{17.26:[0.685832;0.0160978;1.01137]}+{17.36:[0.747069;0.0298958;1.00324]}+{17.46:[0.808306;0.0436938;0.995108]}+{17.56:[0.869543;0.0574918;0.986975]}+{17.66:[0.93078;0.0712898;0.978842]}+{17.76:[0.992017;0.0850878;0.970709]}+{17.86:[1.05325;0.0988858;0.962576]}+{17.96:[1.11449;0.112684;0.954443]}+],
16.07,-0.036632,-0.146745,1.10914,-0.0429047,-0.148131,1.109,0.61237,0.13798,-0.0813297,0.61773,0.137877,0.00709465,1000,0,2,1,0.251236,-0,-0,[{16.165:[0.0183323;-0.134333;1.10086]}+{16.265:[0.0795693;-0.120535;1.09273]}+{16.365:[0.140806;-0.106737;1.0846]}+{16.465:[0.202043;-0.0929391;1.07646]}+{16.565:[0.26328;-0.0791411;1.06833]}+{16.665:[0.324517;-0.0653432;1.0602]}+{16.765:[0.385754;-0.0515452;1.05206]}+{16.865:[0.446991;-0.0377472;1.04393]}+{16.965:[0.508228;-0.0239492;1.0358]}+{17.065:[0.569465;-0.0101512;1.02767]}+{17.165:[0.630702;0.0036468;1.01953]}+{17.265:[0.69194;0.0174448;1.0114]}+{17.365:[0.753177;0.0312428;1.00327]}+{17.465:[0.814414;0.0450408;0.995134]}+{17.565:[0.875651;0.0588388;0.987001]}+{17.665:[0.936888;0.0726368;0.978868]}+{17.765:[0.998125;0.0864347;0.970735]}+{17.865:[1.05936;0.100233;0.962602]}+{17.965:[1.1206;0.114031;0.954469]}+],
