time, tf_x, tf_y, tf_z, loc_x, loc_y, loc_z, vel_x, vel_y, vel_z, velr_x, velr_y, velr_z, traj
14.902,0.0410201,0.0447599,0.452595,0.045807,0.0498756,0.443188,0.100479,0.101635,1.16783,0.0986902,0.103373,1.16783,[{15:[0.0558549;0.0600391;0.559972]}+{15.1:[0.0659029;0.0702026;0.676755]}+{15.2:[0.0759508;0.0803661;0.793539]}+{15.3:[0.0859987;0.0905296;0.910322]}+{15.4:[0.0960466;0.100693;1.02711]}+{15.5:[0.106095;0.110857;1.14389]}+{15.6:[0.116142;0.12102;1.26067]}+{15.7:[0.12619;0.131184;1.37746]}+{15.8:[0.136238;0.141347;1.49424]}+],
14.902,0.0410201,0.0447599,0.452595,0.045807,0.0498756,0.443188,0.100479,0.101635,1.16783,0.0986902,0.103373,1.16783,[{15:[0.0558549;0.0600391;0.559972]}+{15.1:[0.0659029;0.0702026;0.676755]}+{15.2:[0.0759508;0.0803661;0.793539]}+{15.3:[0.0859987;0.0905296;0.910322]}+{15.4:[0.0960466;0.100693;1.02711]}+{15.5:[0.106095;0.110857;1.14389]}+{15.6:[0.116142;0.12102;1.26067]}+{15.7:[0.12619;0.131184;1.37746]}+{15.8:[0.136238;0.141347;1.49424]}+],
15.002,0.0538869,0.0577364,0.593051,0.0556219,0.0597965,0.551073,0.0945203,0.0967183,1.08545,0.0928179,0.0983531,1.08545,[{15.1:[0.065074;0.0694683;0.659619]}+{15.2:[0.074526;0.0791402;0.768164]}+{15.3:[0.083978;0.088812;0.876709]}+{15.4:[0.0934301;0.0984838;0.985255]}+{15.5:[0.102882;0.108156;1.0938]}+{15.6:[0.112334;0.117827;1.20235]}+{15.7:[0.121786;0.127499;1.31089]}+{15.8:[0.131238;0.137171;1.41944]}+{15.9:[0.14069;0.146843;1.52798]}+],
15.103,0.0629437,0.0673343,0.692707,0.0644641,0.0694447,0.651263,0.0865115,0.0946933,0.903925,0.0848457,0.0961888,0.903925,[{15.2:[0.0731152;0.078914;0.741656]}+{15.3:[0.0817664;0.0883834;0.832048]}+{15.4:[0.0904175;0.0978527;0.922441]}+{15.5:[0.0990687;0.107322;1.01283]}+{15.6:[0.10772;0.116791;1.10323]}+{15.7:[0.116371;0.126261;1.19362]}+{15.8:[0.125022;0.13573;1.28401]}+{15.9:[0.133673;0.145199;1.3744]}+{16:[0.142324;0.154669;1.4648]}+],
15.203,0.0702129,0.0752954,0.76495,0.0722223,0.0783145,0.730844,0.0603329,0.0834552,0.692396,0.0709422,0.0844955,0.691263,[{15.3:[0.0782556;0.08666;0.800084]}+{15.4:[0.0842889;0.0950055;0.869323]}+{15.5:[0.0903222;0.103351;0.938563]}+{15.6:[0.0963555;0.111697;1.0078]}+{15.7:[0.102389;0.120042;1.07704]}+{15.8:[0.108422;0.128388;1.14628]}+{15.9:[0.114455;0.136733;1.21552]}+{16:[0.120489;0.145079;1.28476]}+{16.1:[0.126522;0.153424;1.354]}+{16.2:[0.132555;0.16177;1.42324]}+],
15.302,0.0763193,0.0824027,0.822361,0.0779285,0.0860301,0.792816,0.057128,0.062445,0.538657,0.0560295,0.0728237,0.537468,[{15.4:[0.0836413;0.0922746;0.846682]}+{15.5:[0.0893541;0.0985191;0.900547]}+{15.6:[0.0950669;0.104764;0.954413]}+{15.7:[0.10078;0.111008;1.00828]}+{15.8:[0.106492;0.117253;1.06214]}+{15.9:[0.112205;0.123497;1.11601]}+{16:[0.117918;0.129742;1.16988]}+{16.1:[0.123631;0.135986;1.22374]}+{16.2:[0.129344;0.142231;1.27761]}+],
15.403,0.0824453,0.0903958,0.881071,0.0822626,0.0922871,0.838443,0.0352724,0.0617191,0.423686,0.041579,0.0623253,0.423025,[{15.495:[0.0857898;0.098459;0.880811]}+{15.595:[0.0893171;0.104631;0.92318]}+{15.695:[0.0928443;0.110803;0.965548]}+{15.795:[0.0963715;0.116975;1.00792]}+{15.895:[0.0998988;0.123147;1.05029]}+{15.995:[0.103426;0.129319;1.09265]}+{16.095:[0.106953;0.13549;1.13502]}+{16.195:[0.11048;0.141662;1.17739]}+{16.295:[0.114008;0.147834;1.21976]}+],
15.502,0.0859272,0.0958989,0.917837,0.0857323,0.0980188,0.876794,0.0300154,0.0507235,0.31962,0.0291255,0.0512396,0.31962,[{15.598:[0.0887338;0.103091;0.908755]}+{15.698:[0.0917354;0.108164;0.940717]}+{15.798:[0.0947369;0.113236;0.972679]}+{15.898:[0.0977384;0.118308;1.00464]}+{15.998:[0.10074;0.123381;1.0366]}+{16.098:[0.103742;0.128453;1.06857]}+{16.198:[0.106743;0.133525;1.10053]}+{16.298:[0.109745;0.138598;1.13249]}+{16.398:[0.112746;0.14367;1.16445]}+],
15.602,0.0881607,0.099644,0.941298,0.0885269,0.102742,0.905971,0.0250514,0.0422395,0.238305,0.0243104,0.0426703,0.238305,[{15.7:[0.091032;0.106966;0.929801]}+{15.8:[0.0935371;0.11119;0.953632]}+{15.9:[0.0960423;0.115414;0.977462]}+{16:[0.0985474;0.119638;1.00129]}+{16.1:[0.101053;0.123862;1.02512]}+{16.2:[0.103558;0.128086;1.04895]}+{16.3:[0.106063;0.13231;1.07278]}+{16.4:[0.108568;0.136534;1.09661]}+{16.5:[0.111073;0.140758;1.12045]}+],
15.702,0.0907713,0.104171,0.965768,0.0907857,0.106816,0.927189,0.0215506,0.040138,0.187466,0.0215506,0.040138,0.187466,[{15.799:[0.0929408;0.11083;0.945935]}+{15.899:[0.0950958;0.114844;0.964682]}+{15.999:[0.0972509;0.118858;0.983428]}+{16.099:[0.099406;0.122872;1.00218]}+{16.199:[0.101561;0.126885;1.02092]}+{16.299:[0.103716;0.130899;1.03967]}+{16.399:[0.105871;0.134913;1.05842]}+{16.499:[0.108026;0.138927;1.07716]}+{16.599:[0.110181;0.142941;1.09591]}+],
15.803,0.092585,0.107604,0.980886,0.0927293,0.110632,0.94345,0.0180821,0.0353751,0.140555,0.0180821,0.0353751,0.140555,[{15.9:[0.0945375;0.11417;0.957505]}+{16:[0.0963458;0.117707;0.971561]}+{16.1:[0.098154;0.121245;0.985616]}+{16.2:[0.0999622;0.124782;0.999672]}+{16.3:[0.10177;0.12832;1.01373]}+{16.4:[0.103579;0.131857;1.02778]}+{16.5:[0.105387;0.135395;1.04184]}+{16.6:[0.107195;0.138932;1.05589]}+{16.7:[0.109003;0.14247;1.06995]}+],
15.902,0.0942988,0.111066,0.993313,0.0943019,0.114068,0.955091,0.0134915,0.0326168,0.102706,0.0134915,0.0326168,0.102706,[{16:[0.095651;0.117329;0.965361]}+{16.1:[0.0970002;0.120591;0.975632]}+{16.2:[0.0983493;0.123853;0.985903]}+{16.3:[0.0996985;0.127114;0.996173]}+{16.4:[0.101048;0.130376;1.00644]}+{16.5:[0.102397;0.133638;1.01671]}+{16.6:[0.103746;0.136899;1.02698]}+{16.7:[0.105095;0.140161;1.03726]}+{16.8:[0.106444;0.143423;1.04753]}+],
16.003,0.0957826,0.11456,1.00437,0.0954739,0.11691,0.964039,0.00935417,0.0241104,0.077301,0.00935417,0.0241104,0.077301,[{16.1:[0.0964093;0.119321;0.971769]}+{16.2:[0.0973447;0.121732;0.979499]}+{16.3:[0.0982801;0.124143;0.987229]}+{16.4:[0.0992155;0.126554;0.994959]}+{16.5:[0.100151;0.128965;1.00269]}+{16.6:[0.101086;0.131376;1.01042]}+{16.7:[0.102022;0.133787;1.01815]}+{16.8:[0.102957;0.136198;1.02588]}+{16.9:[0.103893;0.138609;1.03361]}+],
16.102,0.0964104,0.116394,1.00974,0.0961947,0.119221,0.970639,0.00508605,0.0238119,0.0587227,0.00508605,0.0238119,0.0587227,[{16.2:[0.0967033;0.121602;0.976511]}+{16.3:[0.0972119;0.123984;0.982384]}+{16.4:[0.0977205;0.126365;0.988256]}+{16.5:[0.0982291;0.128746;0.994128]}+{16.6:[0.0987377;0.131127;1]}+{16.7:[0.0992463;0.133508;1.00587]}+{16.8:[0.0997549;0.135889;1.01174]}+{16.9:[0.100263;0.138271;1.01762]}+{17:[0.100772;0.140652;1.02349]}+],
16.203,0.0968586,0.118794,1.01436,0.0965814,0.121618,0.974951,0.00284297,0.0226777,0.0466736,0.00284297,0.0226777,0.0466736,[{16.3:[0.0968657;0.123886;0.979618]}+{16.4:[0.09715;0.126154;0.984286]}+{16.5:[0.0974343;0.128422;0.988953]}+{16.6:[0.0977186;0.130689;0.993621]}+{16.7:[0.0980029;0.132957;0.998288]}+{16.8:[0.0982872;0.135225;1.00296]}+{16.9:[0.0985715;0.137493;1.00762]}+{17:[0.0988558;0.13976;1.01229]}+{17.1:[0.0991401;0.142028;1.01696]}+],
16.302,0.0970818,0.121158,1.01812,0.0967498,0.123689,0.978025,0.00218477,0.0210846,0.0289482,0.00218477,0.0210846,0.0289482,[{16.397:[0.0969682;0.125798;0.98092]}+{16.497:[0.0971867;0.127906;0.983815]}+{16.597:[0.0974052;0.130015;0.986709]}+{16.697:[0.0976237;0.132123;0.989604]}+{16.797:[0.0978421;0.134232;0.992499]}+{16.897:[0.0980606;0.13634;0.995394]}+{16.997:[0.0982791;0.138448;0.998289]}+{17.097:[0.0984976;0.140557;1.00118]}+{17.197:[0.098716;0.142665;1.00408]}+],
16.402,0.097393,0.122978,1.02051,0.0971187,0.12567,0.980612,0.00552645,0.0204045,0.0448219,0.00552645,0.0204045,0.0448219,[{16.495:[0.0976714;0.127711;0.985094]}+{16.595:[0.098224;0.129751;0.989577]}+{16.695:[0.0987766;0.131792;0.994059]}+{16.795:[0.0993293;0.133832;0.998541]}+{16.895:[0.0998819;0.135873;1.00302]}+{16.995:[0.100435;0.137913;1.00751]}+{17.095:[0.100987;0.139954;1.01199]}+{17.195:[0.10154;0.141994;1.01647]}+{17.295:[0.102093;0.144034;1.02095]}+],
16.503,0.0977426,0.125128,1.02332,0.0973824,0.127698,0.983261,-0.00070706,0.0171078,0.0182259,-0.00070706,0.0171078,0.0182259,[{16.6:[0.0973117;0.129409;0.985084]}+{16.7:[0.097241;0.13112;0.986906]}+{16.8:[0.0971703;0.132831;0.988729]}+{16.9:[0.0970996;0.134541;0.990551]}+{17:[0.0970289;0.136252;0.992374]}+{17.1:[0.0969581;0.137963;0.994197]}+{17.2:[0.0968874;0.139674;0.996019]}+{17.3:[0.0968167;0.141384;0.997842]}+{17.4:[0.096746;0.143095;0.999664]}+],
16.602,0.0975276,0.126452,1.0242,0.0971311,0.129224,0.984317,0.00494052,0.0135472,0.00621564,0.00460845,0.0135472,0.00646568,[{16.695:[0.0976251;0.130579;0.984939]}+{16.795:[0.0981192;0.131933;0.98556]}+{16.895:[0.0986132;0.133288;0.986182]}+{16.995:[0.0991073;0.134643;0.986803]}+{17.095:[0.0996013;0.135998;0.987425]}+{17.195:[0.100095;0.137352;0.988047]}+{17.295:[0.100589;0.138707;0.988668]}+{17.395:[0.101083;0.140062;0.98929]}+{17.495:[0.101578;0.141417;0.989911]}+],
16.703,0.101304,0.127479,1.02553,0.103546,0.129778,0.984135,0.137242,-0.00589764,-0.0238427,0.139297,-0.00589061,0.000454215,[{16.8:[0.117271;0.129188;0.98175]}+{16.9:[0.130995;0.128598;0.979366]}+{17:[0.144719;0.128009;0.976982]}+{17.1:[0.158443;0.127419;0.974598]}+{17.2:[0.172168;0.126829;0.972213]}+{17.3:[0.185892;0.126239;0.969829]}+{17.4:[0.199616;0.12565;0.967445]}+{17.5:[0.21334;0.12506;0.96506]}+{17.6:[0.227064;0.12447;0.962676]}+],
16.802,0.12462,0.125891,1.02597,0.127263,0.127894,0.979363,0.333965,-0.0295703,-0.0784279,0.342973,-0.0296928,-0.00676169,[{16.9:[0.16066;0.124937;0.97152]}+{17:[0.194056;0.12198;0.963678]}+{17.1:[0.227453;0.119023;0.955835]}+{17.2:[0.260849;0.116066;0.947992]}+{17.3:[0.294246;0.113109;0.940149]}+{17.4:[0.327642;0.110152;0.932307]}+{17.5:[0.361039;0.107195;0.924464]}+{17.6:[0.394435;0.104238;0.916621]}+{17.7:[0.427832;0.101281;0.908778]}+],
16.904,0.161992,0.122779,1.02529,0.169897,0.124103,0.970767,0.509834,-0.0460183,-0.0973703,0.518997,-0.0461397,-0.00655497,[{16.999:[0.22088;0.119501;0.96103]}+{17.099:[0.271863;0.114899;0.951293]}+{17.199:[0.322847;0.110298;0.941556]}+{17.299:[0.37383;0.105696;0.931819]}+{17.399:[0.424814;0.101094;0.922082]}+{17.499:[0.475797;0.096492;0.912345]}+{17.599:[0.526781;0.0918902;0.902608]}+{17.699:[0.577764;0.0872884;0.892871]}+{17.799:[0.628747;0.0826865;0.883134]}+],
17.006,0.227048,0.116896,1.02376,0.227249,0.11858,0.961065,0.665715,-0.0699609,-0.0900877,0.671732,-0.0702074,-0.00583928,[{17.095:[0.29382;0.111584;0.952056]}+{17.195:[0.360392;0.104587;0.943048]}+{17.295:[0.426963;0.0975914;0.934039]}+{17.395:[0.493535;0.0905953;0.92503]}+{17.495:[0.560106;0.0835992;0.916021]}+{17.595:[0.626678;0.0766031;0.907013]}+{17.695:[0.693249;0.069607;0.898004]}+{17.795:[0.759821;0.0626109;0.888995]}+{17.895:[0.826393;0.0556148;0.879986]}+],
17.102,0.284594,0.109533,1.02295,0.304032,0.107218,0.951758,0.773286,-0.143088,-0.0867678,0.777455,-0.145386,-0.0200197,[{17.2:[0.38136;0.0929095;0.943081]}+{17.3:[0.458689;0.0786007;0.934404]}+{17.4:[0.536017;0.0642918;0.925727]}+{17.5:[0.613346;0.049983;0.91705]}+{17.6:[0.690675;0.0356742;0.908374]}+{17.7:[0.768003;0.0213654;0.899697]}+{17.8:[0.845332;0.00705662;0.89102]}+{17.9:[0.92266;-0.00725219;0.882343]}+{18:[0.999989;-0.021561;0.873667]}+],
17.202,0.381604,0.0876321,1.02127,0.384926,0.0871469,0.943886,0.847763,-0.256656,-0.0796983,0.850772,-0.258749,-0.0127175,[{17.299:[0.469702;0.0614813;0.935917]}+{17.399:[0.554479;0.0358157;0.927947]}+{17.499:[0.639255;0.01015;0.919977]}+{17.599:[0.724031;-0.0155156;0.912007]}+{17.699:[0.808807;-0.0411812;0.904037]}+{17.799:[0.893584;-0.0668468;0.896067]}+{17.899:[0.97836;-0.0925124;0.888098]}+{17.999:[1.06314;-0.118178;0.880128]}+{18.099:[1.14791;-0.143844;0.872158]}+],
17.302,0.459614,0.0611569,1.01968,0.472527,0.0561796,0.936914,0.878644,-0.352034,-0.0582745,0.876075,-0.360981,-0.0390443,[{17.4:[0.560391;0.0209761;0.931087]}+{17.5:[0.648256;-0.0142273;0.92526]}+{17.6:[0.73612;-0.0494307;0.919432]}+{17.7:[0.823985;-0.0846341;0.913605]}+{17.8:[0.911849;-0.119838;0.907777]}+{17.9:[0.999713;-0.155041;0.90195]}+{18:[1.08758;-0.190244;0.896122]}+{18.1:[1.17544;-0.225448;0.890295]}+{18.2:[1.26331;-0.260651;0.884467]}+],
17.402,0.551485,0.0130035,1.01632,0.549494,0.0162529,0.93679,0.771422,-0.512214,0.0343737,0.774359,-0.507965,-0.0312454,[{17.492:[0.626636;-0.0349685;0.940228]}+{17.592:[0.703778;-0.0861899;0.943665]}+{17.692:[0.78092;-0.137411;0.947102]}+{17.792:[0.858062;-0.188633;0.95054]}+{17.892:[0.935204;-0.239854;0.953977]}+{17.992:[1.01235;-0.291076;0.957414]}+{18.092:[1.08949;-0.342297;0.960852]}+{18.192:[1.16663;-0.393518;0.964289]}+{18.292:[1.24377;-0.44474;0.967726]}+],
17.503,0.620783,-0.0537157,1.01369,0.618583,-0.0468175,0.943443,0.520824,-0.652048,0.0628878,0.525514,-0.650818,-0.025501,[{17.599:[0.670665;-0.112022;0.949732]}+{17.699:[0.722747;-0.177227;0.95602]}+{17.799:[0.77483;-0.242432;0.962309]}+{17.899:[0.826912;-0.307637;0.968598]}+{17.999:[0.878995;-0.372841;0.974887]}+{18.099:[0.931077;-0.438046;0.981175]}+{18.199:[0.983159;-0.503251;0.987464]}+{18.299:[1.03524;-0.568456;0.993753]}+{18.399:[1.08732;-0.633661;1.00004]}+],
17.602,0.650128,-0.127067,1.01159,0.650914,-0.119809,0.945491,0.145436,-0.773644,-0.0297305,0.126497,-0.777178,-0.0235238,[{17.7:[0.665458;-0.197173;0.942518]}+{17.8:[0.680001;-0.274538;0.939545]}+{17.9:[0.694545;-0.351902;0.936572]}+{18:[0.709089;-0.429266;0.933599]}+{18.1:[0.723632;-0.506631;0.930626]}+{18.2:[0.738176;-0.583995;0.927653]}+{18.3:[0.75272;-0.66136;0.92468]}+{18.4:[0.767263;-0.738724;0.921706]}+{18.5:[0.781807;-0.816088;0.918733]}+],
17.702,0.647473,-0.19168,1.01028,0.648702,-0.200563,0.938349,-0.179379,-0.834306,-0.0970352,-0.199911,-0.835206,-0.0112085,[{17.8:[0.630764;-0.283994;0.928645]}+{17.9:[0.612826;-0.367424;0.918942]}+{18:[0.594888;-0.450855;0.909238]}+{18.1:[0.57695;-0.534285;0.899535]}+{18.2:[0.559012;-0.617716;0.889831]}+{18.3:[0.541074;-0.701146;0.880128]}+{18.4:[0.523136;-0.784577;0.870424]}+{18.5:[0.505199;-0.868007;0.860721]}+{18.6:[0.487261;-0.951438;0.851017]}+],
17.803,0.615811,-0.276849,1.00873,0.61313,-0.285986,0.925827,-0.47837,-0.874134,-0.134885,-0.510812,-0.866032,-0.0142103,[{17.9:[0.565293;-0.3734;0.912338]}+{18:[0.517456;-0.460813;0.89885]}+{18.1:[0.469619;-0.548226;0.885361]}+{18.2:[0.421782;-0.63564;0.871872]}+{18.3:[0.373945;-0.723053;0.858384]}+{18.4:[0.326108;-0.810467;0.844895]}+{18.5:[0.278271;-0.89788;0.831407]}+{18.6:[0.230434;-0.985294;0.817918]}+{18.7:[0.182597;-1.07271;0.80443]}+],
