time, tf_x, tf_y, tf_z, loc_x, loc_y, loc_z, vel_x, vel_y, vel_z, velr_x, velr_y, velr_z, traj
28.217,-0.192111,-0.1439,1.03222,-0.210813,-0.154058,0.993123,0.0302782,-0.0126664,0.0105203,0.0296865,-0.012136,0.0126218,[{28.314:[-0.207785;-0.155324;0.994175]}+{28.414:[-0.204757;-0.156591;0.995227]}+{28.514:[-0.201729;-0.157858;0.996279]}+{28.614:[-0.198701;-0.159124;0.997331]}+{28.714:[-0.195674;-0.160391;0.998383]}+{28.814:[-0.192646;-0.161658;0.999435]}+{28.914:[-0.189618;-0.162924;1.00049]}+{29.014:[-0.18659;-0.164191;1.00154]}+{29.114:[-0.183562;-0.165458;1.00259]}+],
28.217,-0.192111,-0.1439,1.03222,-0.210813,-0.154058,0.993123,0.0302782,-0.0126664,0.0105203,0.0296865,-0.012136,0.0126218,[{28.314:[-0.207785;-0.155324;0.994175]}+{28.414:[-0.204757;-0.156591;0.995227]}+{28.514:[-0.201729;-0.157858;0.996279]}+{28.614:[-0.198701;-0.159124;0.997331]}+{28.714:[-0.195674;-0.160391;0.998383]}+{28.814:[-0.192646;-0.161658;0.999435]}+{28.914:[-0.189618;-0.162924;1.00049]}+{29.014:[-0.18659;-0.164191;1.00154]}+{29.114:[-0.183562;-0.165458;1.00259]}+],
28.318,-0.183773,-0.145723,1.0339,-0.201051,-0.15588,0.992554,0.176537,-0.0254804,-0.0293931,0.179312,-0.0223955,0.00491162,[{28.414:[-0.183398;-0.158428;0.989615]}+{28.514:[-0.165744;-0.160976;0.986675]}+{28.614:[-0.14809;-0.163524;0.983736]}+{28.714:[-0.130437;-0.166072;0.980797]}+{28.814:[-0.112783;-0.16862;0.977857]}+{28.914:[-0.0951291;-0.171168;0.974918]}+{29.014:[-0.0774753;-0.173716;0.971979]}+{29.114:[-0.0598216;-0.176264;0.969039]}+{29.214:[-0.0421679;-0.178812;0.9661]}+],
28.417,-0.15372,-0.149376,1.03531,-0.173972,-0.159035,0.988372,0.382302,-0.0421616,-0.0634396,0.387801,-0.0354831,0.0175727,[{28.51:[-0.135742;-0.163251;0.982028]}+{28.61:[-0.0975114;-0.167467;0.975684]}+{28.71:[-0.0592811;-0.171683;0.96934]}+{28.81:[-0.0210509;-0.175899;0.962996]}+{28.91:[0.0171794;-0.180116;0.956652]}+{29.01:[0.0554096;-0.184332;0.950308]}+{29.11:[0.0936399;-0.188548;0.943964]}+{29.21:[0.13187;-0.192764;0.93762]}+{29.31:[0.1701;-0.19698;0.931276]}+],
28.518,-0.105073,-0.154472,1.03681,-0.123885,-0.164096,0.980716,0.579277,-0.0532658,-0.0612015,0.58255,-0.0431479,0.0303024,[{28.614:[-0.0659569;-0.169422;0.974596]}+{28.714:[-0.00802924;-0.174749;0.968476]}+{28.814:[0.0498984;-0.180076;0.962356]}+{28.914:[0.107826;-0.185402;0.956236]}+{29.014:[0.165754;-0.190729;0.950116]}+{29.114:[0.223681;-0.196055;0.943996]}+{29.214:[0.281609;-0.201382;0.937875]}+{29.314:[0.339537;-0.206709;0.931755]}+{29.414:[0.397464;-0.212035;0.925635]}+],
28.618,-0.0534342,-0.159219,1.0385,-0.059761,-0.169517,0.973822,0.725586,-0.0612536,-0.0756729,0.730351,-0.0483392,0.0142804,[{28.711:[0.0127976;-0.175642;0.966254]}+{28.811:[0.0853562;-0.181768;0.958687]}+{28.911:[0.157915;-0.187893;0.95112]}+{29.011:[0.230473;-0.194018;0.943552]}+{29.111:[0.303032;-0.200144;0.935985]}+{29.211:[0.37559;-0.206269;0.928418]}+{29.311:[0.448149;-0.212394;0.920851]}+{29.411:[0.520708;-0.21852;0.913283]}+{29.511:[0.593266;-0.224645;0.905716]}+],
28.717,0.0229912,-0.167518,1.04059,0.019536,-0.178481,0.967716,0.833885,-0.126021,-0.0596292,0.837973,-0.109852,0.0231184,[{28.812:[0.102924;-0.191083;0.961753]}+{28.912:[0.186313;-0.203685;0.95579]}+{29.012:[0.269701;-0.216287;0.949827]}+{29.112:[0.35309;-0.228889;0.943864]}+{29.212:[0.436478;-0.241492;0.937901]}+{29.312:[0.519867;-0.254094;0.931938]}+{29.412:[0.603255;-0.266696;0.925975]}+{29.512:[0.686644;-0.279298;0.920012]}+{29.612:[0.770032;-0.2919;0.914049]}+],
28.822,0.117476,-0.186835,1.04225,0.109215,-0.19745,0.961562,0.89987,-0.245271,-0.0686462,0.906367,-0.230251,0.0109112,[{28.915:[0.199202;-0.221977;0.954697]}+{29.015:[0.289189;-0.246504;0.947833]}+{29.115:[0.379176;-0.271031;0.940968]}+{29.215:[0.469163;-0.295558;0.934103]}+{29.315:[0.55915;-0.320085;0.927239]}+{29.415:[0.649137;-0.344612;0.920374]}+{29.515:[0.739124;-0.369139;0.913509]}+{29.615:[0.829111;-0.393666;0.906645]}+{29.715:[0.919098;-0.418193;0.89978]}+],
28.917,0.218187,-0.222897,1.0442,0.197717,-0.228365,0.956548,0.937811,-0.395442,-0.0438401,0.945191,-0.379133,0.0256665,[{29.011:[0.291498;-0.267909;0.952164]}+{29.111:[0.385279;-0.307454;0.94778]}+{29.211:[0.47906;-0.346998;0.943396]}+{29.311:[0.572842;-0.386542;0.939012]}+{29.411:[0.666623;-0.426086;0.934628]}+{29.511:[0.760404;-0.465631;0.930244]}+{29.611:[0.854185;-0.505175;0.92586]}+{29.711:[0.947966;-0.544719;0.921476]}+{29.811:[1.04175;-0.584263;0.917092]}+],
29.017,0.312216,-0.271476,1.04587,0.287698,-0.272932,0.951238,0.953982,-0.536789,-0.0722296,0.963205,-0.525049,0.00085141,[{29.106:[0.383097;-0.326611;0.944015]}+{29.206:[0.478495;-0.38029;0.936792]}+{29.306:[0.573893;-0.433968;0.929569]}+{29.406:[0.669291;-0.487647;0.922346]}+{29.506:[0.764689;-0.541326;0.915123]}+{29.606:[0.860087;-0.595005;0.9079]}+{29.706:[0.955486;-0.648684;0.900677]}+{29.806:[1.05088;-0.702363;0.893454]}+{29.906:[1.14628;-0.756042;0.886231]}+],
