time, tf_x, tf_y, tf_z, loc_x, loc_y, loc_z, vel_x, vel_y, vel_z, velr_x, velr_y, velr_z, traj
21.335,-0.0937407,-0.178112,0,-0.0975237,-0.181641,0.904625,0.0636459,-0.903146,0.00916233,0.0162916,-0.904942,0.0249595,[[21.429:[-0.0911592;-0.271956;0.905541]]+[21.529:[-0.0847946;-0.36227;0.906457]]+[21.629:[-0.07843;-0.452585;0.907374]]+[21.729:[-0.0720654;-0.542899;0.90829]]+[21.829:[-0.0657008;-0.633214;0.909206]]+[21.929:[-0.0593362;-0.723529;0.910122]]+[22.029:[-0.0529716;-0.813843;0.911039]]+[22.129:[-0.046607;-0.904158;0.911955]]+[22.229:[-0.0402424;-0.994473;0.912871]]+],
21.335,-0.0937407,-0.178112,0,-0.0975237,-0.181641,0.904625,0.0636459,-0.903146,0.00916233,0.0162916,-0.904942,0.0249595,[[21.429:[-0.0911592;-0.271956;0.905541]]+[21.529:[-0.0847946;-0.36227;0.906457]]+[21.629:[-0.07843;-0.452585;0.907374]]+[21.729:[-0.0720654;-0.542899;0.90829]]+[21.829:[-0.0657008;-0.633214;0.909206]]+[21.929:[-0.0593362;-0.723529;0.910122]]+[22.029:[-0.0529716;-0.813843;0.911039]]+[22.129:[-0.046607;-0.904158;0.911955]]+[22.229:[-0.0402424;-0.994473;0.912871]]+],
21.435,-0.0855775,-0.278545,0,-0.0911046,-0.27402,0.90528,0.0637744,-0.923364,-0.00888485,0.0153618,-0.925451,0.0072676,[[21.53:[-0.0847272;-0.366357;0.904392]]+[21.63:[-0.0783497;-0.458693;0.903503]]+[21.73:[-0.0719723;-0.55103;0.902615]]+[21.83:[-0.0655948;-0.643366;0.901726]]+[21.93:[-0.0592174;-0.735703;0.900838]]+[22.03:[-0.05284;-0.828039;0.899949]]+[22.13:[-0.0464625;-0.920376;0.899061]]+[22.23:[-0.0400851;-1.01271;0.898172]]+[22.33:[-0.0337076;-1.10505;0.897284]]+],
21.537,-0.0780832,-0.371647,0,-0.084349,-0.370966,0.90666,0.0645221,-0.93774,0.00704022,0.0153562,-0.939831,0.00704022,[[21.634:[-0.0778968;-0.46474;0.907364]]+[21.734:[-0.0714446;-0.558514;0.908068]]+[21.834:[-0.0649924;-0.652288;0.908772]]+[21.934:[-0.0585402;-0.746062;0.909476]]+[22.034:[-0.052088;-0.839836;0.91018]]+[22.134:[-0.0456358;-0.93361;0.910884]]+[22.234:[-0.0391836;-1.02738;0.911588]]+[22.334:[-0.0327313;-1.12116;0.912292]]+[22.434:[-0.0262791;-1.21493;0.912996]]+],
21.636,-0.0715134,-0.456502,0,-0.0782231,-0.461622,0.908449,0.064863,-0.949419,0.0176532,0.0150854,-0.951512,0.0176532,[[21.73:[-0.0717368;-0.556564;0.910214]]+[21.83:[-0.0652505;-0.651506;0.91198]]+[21.93:[-0.0587642;-0.746448;0.913745]]+[22.03:[-0.0522779;-0.84139;0.91551]]+[22.13:[-0.0457916;-0.936332;0.917276]]+[22.23:[-0.0393053;-1.03127;0.919041]]+[22.33:[-0.032819;-1.12622;0.920806]]+[22.43:[-0.0263327;-1.22116;0.922572]]+[22.53:[-0.0198464;-1.3161;0.924337]]+],
21.737,-0.0640296,-0.551617,0,-0.0711771,-0.55969,0.911059,0.072954,-0.952561,0.0356033,0.0230008,-0.955073,0.0356033,[[21.833:[-0.0638817;-0.654946;0.914619]]+[21.933:[-0.0565863;-0.750202;0.91818]]+[22.033:[-0.0492909;-0.845458;0.92174]]+[22.133:[-0.0419955;-0.940714;0.9253]]+[22.233:[-0.0347001;-1.03597;0.928861]]+[22.333:[-0.0274047;-1.13123;0.932421]]+[22.433:[-0.0201093;-1.22648;0.935981]]+[22.533:[-0.0128139;-1.32174;0.939542]]+[22.633:[-0.0055185;-1.41699;0.943102]]+],
21.835,-0.0568647,-0.637241,0,-0.0637038,-0.652007,0.91382,0.0806142,-0.952393,0.0407093,0.0306593,-0.955307,0.0407093,[[21.93:[-0.0556424;-0.747246;0.917891]]+[22.03:[-0.047581;-0.842486;0.921962]]+[22.13:[-0.0395196;-0.937725;0.926033]]+[22.23:[-0.0314581;-1.03296;0.930104]]+[22.33:[-0.0233967;-1.1282;0.934175]]+[22.43:[-0.0153353;-1.22344;0.938246]]+[22.53:[-0.00727388;-1.31868;0.942317]]+[22.63:[0.000787537;-1.41392;0.946388]]+[22.73:[0.00884896;-1.50916;0.950459]]+],
21.936,-0.0483295,-0.732583,0,-0.0547977,-0.751317,0.91663,0.0895968,-0.958986,0.0282566,0.0392845,-0.962361,0.0282566,[[22.034:[-0.045838;-0.847216;0.919456]]+[22.134:[-0.0368784;-0.943115;0.922281]]+[22.234:[-0.0279187;-1.03901;0.925107]]+[22.334:[-0.018959;-1.13491;0.927933]]+[22.434:[-0.00999932;-1.23081;0.930758]]+[22.534:[-0.00103964;-1.32671;0.933584]]+[22.634:[0.00792003;-1.42261;0.93641]]+[22.734:[0.0168797;-1.51851;0.939235]]+[22.834:[0.0258394;-1.61441;0.942061]]+],
22.035,-0.0400986,-0.819092,0,-0.0468311,-0.843916,0.918822,0.0769287,-0.969767,0.021849,0.0430374,-0.971861,0.021849,[[22.13:[-0.0391382;-0.940892;0.921007]]+[22.23:[-0.0314454;-1.03787;0.923192]]+[22.33:[-0.0237525;-1.13485;0.925377]]+[22.43:[-0.0160596;-1.23182;0.927562]]+[22.53:[-0.00836675;-1.3288;0.929747]]+[22.63:[-0.000673883;-1.42578;0.931932]]+[22.73:[0.00701899;-1.52275;0.934117]]+[22.83:[0.0147119;-1.61973;0.936302]]+[22.93:[0.0224047;-1.71671;0.938486]]+],
22.135,-0.0288336,-0.935654,0,-0.0382296,-0.941311,0.921256,0.0795321,-0.979945,0.0301109,0.0452841,-0.982124,0.0301109,[[22.23:[-0.0302764;-1.03931;0.924267]]+[22.33:[-0.0223232;-1.1373;0.927279]]+[22.43:[-0.01437;-1.23529;0.93029]]+[22.53:[-0.00641679;-1.33329;0.933301]]+[22.63:[0.00153642;-1.43128;0.936312]]+[22.73:[0.00948963;-1.52928;0.939323]]+[22.83:[0.0174428;-1.62727;0.942334]]+[22.93:[0.025396;-1.72527;0.945345]]+[23.03:[0.0333493;-1.82326;0.948356]]+],
