time, tf_x, tf_y, tf_z, loc_x, loc_y, loc_z, vel_x, vel_y, vel_z, velr_x, velr_y, velr_z, traj
30.82,-0.0933024,-0.437093,2.05778,-0.101273,-0.431024,1.97381,-0.242925,-0.897489,0.00494844,-0.242925,-0.897266,0.020611,[[30.914:[-0.124593;-0.517182;1.97428]]+[31.014:[-0.148886;-0.606931;1.97478]]+[31.114:[-0.173178;-0.69668;1.97527]]+[31.214:[-0.197471;-0.786429;1.97577]]+[31.314:[-0.221764;-0.876177;1.97626]]+[31.414:[-0.246056;-0.965926;1.97676]]+[31.514:[-0.270349;-1.05568;1.97725]]+[31.614:[-0.294641;-1.14542;1.97775]]+[31.714:[-0.318934;-1.23517;1.97824]]+],
30.82,-0.0933024,-0.437093,2.05778,-0.101273,-0.431024,1.97381,-0.242925,-0.897489,0.00494844,-0.242925,-0.897266,0.020611,[[30.914:[-0.124593;-0.517182;1.97428]]+[31.014:[-0.148886;-0.606931;1.97478]]+[31.114:[-0.173178;-0.69668;1.97527]]+[31.214:[-0.197471;-0.786429;1.97577]]+[31.314:[-0.221764;-0.876177;1.97626]]+[31.414:[-0.246056;-0.965926;1.97676]]+[31.514:[-0.270349;-1.05568;1.97725]]+[31.614:[-0.294641;-1.14542;1.97775]]+[31.714:[-0.318934;-1.23517;1.97824]]+],
30.92,-0.116221,-0.528687,2.06048,-0.12465,-0.518477,1.97469,-0.242302,-0.920471,0.0122252,-0.242302,-0.920118,0.0282878,[[31.014:[-0.14888;-0.610524;1.97592]]+[31.114:[-0.173111;-0.702571;1.97714]]+[31.214:[-0.197341;-0.794618;1.97836]]+[31.314:[-0.221571;-0.886665;1.97958]]+[31.414:[-0.245801;-0.978712;1.98081]]+[31.514:[-0.270031;-1.07076;1.98203]]+[31.614:[-0.294261;-1.16281;1.98325]]+[31.714:[-0.318492;-1.25485;1.98447]]+[31.814:[-0.342722;-1.3469;1.9857]]+],
31.02,-0.136057,-0.612673,2.06323,-0.148284,-0.612341,1.97751,-0.223072,-0.93623,0.0199195,-0.223386,-0.93623,0.0160233,[[31.115:[-0.170591;-0.705964;1.97951]]+[31.215:[-0.192899;-0.799587;1.9815]]+[31.315:[-0.215206;-0.89321;1.98349]]+[31.415:[-0.237513;-0.986833;1.98548]]+[31.515:[-0.25982;-1.08046;1.98747]]+[31.615:[-0.282128;-1.17408;1.98947]]+[31.715:[-0.304435;-1.2677;1.99146]]+[31.815:[-0.326742;-1.36132;1.99345]]+[31.915:[-0.349049;-1.45495;1.99544]]+],
31.12,-0.153073,-0.697486,2.06544,-0.16841,-0.711079,1.98106,-0.154242,-0.942165,0.04539,-0.157611,-0.942165,0.0317742,[[31.22:[-0.183834;-0.805296;1.9856]]+[31.32:[-0.199259;-0.899512;1.99014]]+[31.42:[-0.214683;-0.993729;1.99468]]+[31.52:[-0.230107;-1.08795;1.99922]]+[31.62:[-0.245531;-1.18216;2.00376]]+[31.72:[-0.260956;-1.27638;2.0083]]+[31.82:[-0.27638;-1.37059;2.01284]]+[31.92:[-0.291804;-1.46481;2.01738]]+[32.02:[-0.307228;-1.55903;2.02191]]+],
31.22,-0.163492,-0.801213,2.06909,-0.176635,-0.797715,1.985,-0.0403964,-0.941619,0.0359097,-0.0439287,-0.941619,0.0314904,[[31.312:[-0.180674;-0.891877;1.98859]]+[31.412:[-0.184714;-0.986038;1.99218]]+[31.512:[-0.188753;-1.0802;1.99578]]+[31.612:[-0.192793;-1.17436;1.99937]]+[31.712:[-0.196833;-1.26852;2.00296]]+[31.812:[-0.200872;-1.36269;2.00655]]+[31.912:[-0.204912;-1.45685;2.01014]]+[32.012:[-0.208952;-1.55101;2.01373]]+[32.112:[-0.212991;-1.64517;2.01732]]+[32.212:[-0.217031;-1.73933;2.02091]]+],
31.32,-0.161056,-0.895557,2.07232,-0.174647,-0.894934,1.98821,0.0649383,-0.947014,0.0141645,0.0634567,-0.947014,0.0197703,[[31.415:[-0.168153;-0.989635;1.98963]]+[31.515:[-0.161659;-1.08434;1.99105]]+[31.615:[-0.155166;-1.17904;1.99246]]+[31.715:[-0.148672;-1.27374;1.99388]]+[31.815:[-0.142178;-1.36844;1.99529]]+[31.915:[-0.135684;-1.46314;1.99671]]+[32.015:[-0.12919;-1.55784;1.99813]]+[32.115:[-0.122696;-1.65255;1.99954]]+[32.215:[-0.116203;-1.74725;2.00096]]+],
31.42,-0.150861,-0.980951,2.07444,-0.163755,-0.989995,1.99015,0.133661,-0.952975,0.0197926,0.132889,-0.952975,0.0244453,[[31.515:[-0.150389;-1.08529;1.99213]]+[31.615:[-0.137023;-1.18059;1.99411]]+[31.715:[-0.123656;-1.27589;1.99609]]+[31.815:[-0.11029;-1.37119;1.99807]]+[31.915:[-0.0969242;-1.46648;2.00005]]+[32.015:[-0.0835581;-1.56178;2.00203]]+[32.115:[-0.070192;-1.65708;2.00401]]+[32.215:[-0.056826;-1.75238;2.00599]]+[32.315:[-0.0434599;-1.84767;2.00796]]+],
31.52,-0.133773,-1.0858,2.0777,-0.148703,-1.08936,1.99317,0.150447,-0.956902,0.0333771,0.150447,-0.956902,0.0333771,[[31.619:[-0.133658;-1.18505;1.99651]]+[31.719:[-0.118614;-1.28074;1.99985]]+[31.819:[-0.103569;-1.37643;2.00319]]+[31.919:[-0.0885241;-1.47212;2.00653]]+[32.019:[-0.0734793;-1.56781;2.00986]]+[32.119:[-0.0584346;-1.6635;2.0132]]+[32.219:[-0.0433898;-1.75919;2.01654]]+[32.319:[-0.0283451;-1.85488;2.01988]]+[32.419:[-0.0133003;-1.95057;2.02321]]+[32.519:[0.00174439;-2.04626;2.02655]]+],
31.62,-0.119334,-1.17181,2.07974,-0.134501,-1.18129,1.99548,0.140493,-0.958561,0.0227317,0.140868,-0.958561,0.0202763,[[31.715:[-0.120451;-1.27715;1.99776]]+[31.815:[-0.106402;-1.373;2.00003]]+[31.915:[-0.0923527;-1.46886;2.0023]]+[32.015:[-0.0783034;-1.56472;2.00458]]+[32.115:[-0.0642542;-1.66057;2.00685]]+[32.215:[-0.0502049;-1.75643;2.00912]]+[32.315:[-0.0361556;-1.85228;2.0114]]+[32.415:[-0.0221063;-1.94814;2.01367]]+[32.515:[-0.00805707;-2.044;2.01594]]+[32.615:[0.00599221;-2.13985;2.01822]]+],
31.72,-0.10426,-1.27718,2.08048,-0.122465,-1.27728,1.99644,0.102383,-0.961181,-0.00207123,0.102248,-0.961181,-0.00564309,[[31.815:[-0.112227;-1.37339;1.99623]]+[31.915:[-0.101989;-1.46951;1.99603]]+[32.015:[-0.0917502;-1.56563;1.99582]]+[32.115:[-0.0815119;-1.66175;1.99561]]+[32.215:[-0.0712736;-1.75787;1.99541]]+[32.315:[-0.0610353;-1.85398;1.9952]]+[32.415:[-0.050797;-1.9501;1.99499]]+[32.515:[-0.0405587;-2.04622;1.99478]]+[32.615:[-0.0303203;-2.14234;1.99458]]+],
