time, tf_x, tf_y, tf_z, loc_x, loc_y, loc_z, vel_x, vel_y, vel_z, velr_x, velr_y, velr_z, traj
24.585,0.156256,0.0429339,1.4812,0.158105,0.0356905,1.41678,0.220883,-0.659959,-0.0898768,0.187581,-0.676142,0.00755812,[{24.684:[0.180193;-0.0303053;1.40779]}+{24.784:[0.202281;-0.0963012;1.39881]}+{24.884:[0.224369;-0.162297;1.38982]}+{24.984:[0.246458;-0.228293;1.38083]}+{25.084:[0.268546;-0.294289;1.37184]}+{25.184:[0.290634;-0.360285;1.36286]}+{25.284:[0.312723;-0.42628;1.35387]}+{25.384:[0.334811;-0.492276;1.34488]}+{25.484:[0.356899;-0.558272;1.33589]}+],
24.585,0.156256,0.0429339,1.4812,0.158105,0.0356905,1.41678,0.220883,-0.659959,-0.0898768,0.187581,-0.676142,0.00755812,[{24.684:[0.180193;-0.0303053;1.40779]}+{24.784:[0.202281;-0.0963012;1.39881]}+{24.884:[0.224369;-0.162297;1.38982]}+{24.984:[0.246458;-0.228293;1.38083]}+{25.084:[0.268546;-0.294289;1.37184]}+{25.184:[0.290634;-0.360285;1.36286]}+{25.284:[0.312723;-0.42628;1.35387]}+{25.384:[0.334811;-0.492276;1.34488]}+{25.484:[0.356899;-0.558272;1.33589]}+],
24.685,0.183602,-0.0359004,1.48185,0.182393,-0.0375389,1.40901,0.256328,-0.776394,-0.066821,0.216477,-0.791239,0.00593112,[{24.78:[0.206744;-0.111297;1.40267]}+{24.88:[0.232377;-0.188936;1.39598]}+{24.98:[0.25801;-0.266575;1.3893]}+{25.08:[0.283643;-0.344215;1.38262]}+{25.18:[0.309275;-0.421854;1.37594]}+{25.28:[0.334908;-0.499494;1.36926]}+{25.38:[0.360541;-0.577133;1.36257]}+{25.48:[0.386174;-0.654773;1.35589]}+{25.58:[0.411807;-0.732412;1.34921]}+],
24.785,0.211184,-0.11772,1.48174,0.20778,-0.115582,1.40299,0.272745,-0.85678,-0.0569668,0.227531,-0.871735,0.00385171,[{24.88:[0.235055;-0.20126;1.3973]}+{24.98:[0.262329;-0.286938;1.3916]}+{25.08:[0.289604;-0.372616;1.3859]}+{25.18:[0.316878;-0.458294;1.38021]}+{25.28:[0.344153;-0.543972;1.37451]}+{25.38:[0.371427;-0.62965;1.36881]}+{25.48:[0.398702;-0.715328;1.36312]}+{25.58:[0.425976;-0.801006;1.35742]}+{25.68:[0.453251;-0.886684;1.35172]}+],
24.885,0.234065,-0.187717,1.48075,0.236964,-0.207223,1.39712,0.293523,-0.895801,-0.0749237,0.293523,-0.89787,-0.0436151,[{24.979:[0.264849;-0.292323;1.39]}+{25.079:[0.294201;-0.381903;1.38251]}+{25.179:[0.323553;-0.471484;1.37502]}+{25.279:[0.352906;-0.561064;1.36752]}+{25.379:[0.382258;-0.650644;1.36003]}+{25.479:[0.41161;-0.740224;1.35254]}+{25.579:[0.440962;-0.829804;1.34505]}+{25.679:[0.470315;-0.919384;1.33755]}+{25.779:[0.499667;-1.00896;1.33006]}+],
24.985,0.262788,-0.2783,1.47243,0.265339,-0.29449,1.38564,0.286663,-0.922056,-0.14294,0.381474,-0.8894,-0.127437,[{25.08:[0.294005;-0.386695;1.37135]}+{25.18:[0.322671;-0.478901;1.35705]}+{25.28:[0.351338;-0.571107;1.34276]}+{25.38:[0.380004;-0.663312;1.32847]}+{25.48:[0.40867;-0.755518;1.31417]}+{25.58:[0.437337;-0.847723;1.29988]}+{25.68:[0.466003;-0.939929;1.28558]}+{25.78:[0.494669;-1.03213;1.27129]}+{25.88:[0.523336;-1.12434;1.257]}+],
25.085,0.292813,-0.380767,1.45908,0.293442,-0.387541,1.37302,0.270268,-0.937695,-0.115579,0.378263,-0.89988,-0.113171,[{25.18:[0.320469;-0.481311;1.36146]}+{25.28:[0.347495;-0.57508;1.3499]}+{25.38:[0.374522;-0.66885;1.33834]}+{25.48:[0.401549;-0.762619;1.32678]}+{25.58:[0.428576;-0.856389;1.31523]}+{25.68:[0.455603;-0.950158;1.30367]}+{25.78:[0.48263;-1.04393;1.29211]}+{25.88:[0.509657;-1.1377;1.28055]}+{25.98:[0.536683;-1.23147;1.26899]}+],
25.185,0.314456,-0.46604,1.44989,0.318794,-0.485053,1.36347,0.225695,-0.951527,-0.076939,0.337082,-0.916929,-0.0887571,[{25.283:[0.341363;-0.580206;1.35578]}+{25.383:[0.363933;-0.675358;1.34808]}+{25.483:[0.386502;-0.770511;1.34039]}+{25.583:[0.409072;-0.865664;1.3327]}+{25.683:[0.431641;-0.960816;1.325]}+{25.783:[0.454211;-1.05597;1.31731]}+{25.883:[0.47678;-1.15112;1.30962]}+{25.983:[0.49935;-1.24627;1.30192]}+{26.083:[0.521919;-1.34143;1.29423]}+],
25.285,0.338518,-0.580768,1.43999,0.33944,-0.582584,1.35608,0.182267,-0.959905,-0.0690888,0.29664,-0.930537,-0.0742772,[{25.385:[0.357667;-0.678574;1.34917]}+{25.485:[0.375894;-0.774565;1.34226]}+{25.585:[0.39412;-0.870555;1.33535]}+{25.685:[0.412347;-0.966546;1.32844]}+{25.785:[0.430574;-1.06254;1.32153]}+{25.885:[0.4488;-1.15853;1.31462]}+{25.985:[0.467027;-1.25452;1.30771]}+{26.085:[0.485254;-1.35051;1.30081]}+{26.185:[0.50348;-1.4465;1.2939]}+],
25.386,0.354732,-0.676978,1.43313,0.355885,-0.678778,1.34972,0.15152,-0.96318,-0.0574742,0.266729,-0.937535,-0.0621387,[{25.485:[0.371037;-0.775096;1.34397]}+{25.585:[0.386189;-0.871414;1.33822]}+{25.685:[0.401341;-0.967732;1.33248]}+{25.785:[0.416493;-1.06405;1.32673]}+{25.885:[0.431645;-1.16037;1.32098]}+{25.985:[0.446797;-1.25669;1.31523]}+{26.085:[0.461949;-1.353;1.30949]}+{26.185:[0.477101;-1.44932;1.30374]}+{26.285:[0.492253;-1.54564;1.29799]}+],
25.486,0.366059,-0.753897,1.4248,0.370781,-0.775001,1.33859,0.13363,-0.96464,-0.158865,0.315237,-0.921419,-0.158865,[{25.585:[0.384144;-0.871465;1.3227]}+{25.685:[0.397507;-0.967929;1.30681]}+{25.785:[0.41087;-1.06439;1.29093]}+{25.885:[0.424233;-1.16086;1.27504]}+{25.985:[0.437596;-1.25732;1.25915]}+{26.085:[0.450959;-1.35378;1.24327]}+{26.185:[0.464322;-1.45025;1.22738]}+{26.285:[0.477685;-1.54671;1.21149]}+{26.385:[0.491048;-1.64318;1.19561]}+],
