time, tf_x, tf_y, tf_z, loc_x, loc_y, loc_z, vel_x, vel_y, vel_z, velr_x, velr_y, velr_z, traj
33.831,0.095722,0.0411101,1.88938,0.0935956,0.0366414,1.82388,0.0192187,-0.694834,-0.1033,-0.0292973,-0.701894,-0.0178944,[{33.928:[0.0955174;-0.0328419;1.81355]}+{34.028:[0.0974393;-0.102325;1.80322]}+{34.128:[0.0993612;-0.171809;1.79289]}+{34.228:[0.101283;-0.241292;1.78256]}+{34.328:[0.103205;-0.310775;1.77223]}+{34.428:[0.105127;-0.380259;1.7619]}+{34.528:[0.107049;-0.449742;1.75157]}+{34.628:[0.108971;-0.519226;1.74124]}+{34.728:[0.110892;-0.588709;1.73091]}+],
33.831,0.095722,0.0411101,1.88938,0.0935956,0.0366414,1.82388,0.0192187,-0.694834,-0.1033,-0.0292973,-0.701894,-0.0178944,[{33.928:[0.0955174;-0.0328419;1.81355]}+{34.028:[0.0974393;-0.102325;1.80322]}+{34.128:[0.0993612;-0.171809;1.79289]}+{34.228:[0.101283;-0.241292;1.78256]}+{34.328:[0.103205;-0.310775;1.77223]}+{34.428:[0.105127;-0.380259;1.7619]}+{34.528:[0.107049;-0.449742;1.75157]}+{34.628:[0.108971;-0.519226;1.74124]}+{34.728:[0.110892;-0.588709;1.73091]}+],
33.931,0.0982695,-0.0421727,1.88785,0.0958357,-0.0398421,1.81484,0.0249707,-0.80976,-0.0831377,-0.0315761,-0.813694,-0.0122662,[{34.028:[0.0983328;-0.120818;1.80652]}+{34.128:[0.10083;-0.201794;1.79821]}+{34.228:[0.103327;-0.28277;1.7899]}+{34.328:[0.105824;-0.363746;1.78158]}+{34.428:[0.108321;-0.444722;1.77327]}+{34.528:[0.110818;-0.525698;1.76496]}+{34.628:[0.113315;-0.606674;1.75664]}+{34.728:[0.115812;-0.68765;1.74833]}+{34.828:[0.118309;-0.768626;1.74001]}+],
34.031,0.10111,-0.118532,1.88682,0.0989406,-0.126891,1.80823,0.0349352,-0.885103,-0.0744703,-0.0268915,-0.888068,-0.0280309,[{34.13:[0.102434;-0.215402;1.80078]}+{34.23:[0.105928;-0.303912;1.79333]}+{34.33:[0.109421;-0.392422;1.78589]}+{34.43:[0.112915;-0.480933;1.77844]}+{34.53:[0.116408;-0.569443;1.77099]}+{34.63:[0.119902;-0.657953;1.76354]}+{34.73:[0.123395;-0.746463;1.7561]}+{34.83:[0.126889;-0.834974;1.74865]}+{34.93:[0.130382;-0.923484;1.7412]}+],
34.131,0.10535,-0.217925,1.88473,0.102551,-0.213055,1.80375,0.0398008,-0.922462,-0.0362945,-0.0246438,-0.923484,-0.0201806,[{34.225:[0.106531;-0.305301;1.80012]}+{34.325:[0.110511;-0.397547;1.79649]}+{34.425:[0.114491;-0.489793;1.79286]}+{34.525:[0.118471;-0.582039;1.78923]}+{34.625:[0.122451;-0.674286;1.7856]}+{34.725:[0.126431;-0.766532;1.78197]}+{34.825:[0.130411;-0.858778;1.77834]}+{34.925:[0.134391;-0.951024;1.77471]}+{35.025:[0.138371;-1.04327;1.77108]}+],
34.231,0.109062,-0.301781,1.88276,0.106001,-0.311096,1.80085,0.026204,-0.941589,-0.0106997,-0.0231109,-0.94167,-0.0106997,[{34.33:[0.108621;-0.405255;1.79978]}+{34.43:[0.111241;-0.499414;1.79871]}+{34.53:[0.113862;-0.593573;1.79764]}+{34.63:[0.116482;-0.687732;1.79657]}+{34.73:[0.119103;-0.781891;1.7955]}+{34.83:[0.121723;-0.87605;1.79443]}+{34.93:[0.124343;-0.970208;1.79336]}+{35.03:[0.126964;-1.06437;1.79229]}+{35.13:[0.129584;-1.15853;1.79122]}+],
34.331,0.112842,-0.386716,1.88092,0.109995,-0.405687,1.79897,0.039976,-0.949257,-0.0260208,-0.0263382,-0.949733,-0.0260208,[{34.43:[0.113993;-0.500613;1.79637]}+{34.53:[0.11799;-0.595538;1.79377]}+{34.63:[0.121988;-0.690464;1.79116]}+{34.73:[0.125986;-0.78539;1.78856]}+{34.83:[0.129983;-0.880315;1.78596]}+{34.93:[0.133981;-0.975241;1.78336]}+{35.03:[0.137978;-1.07017;1.78076]}+{35.13:[0.141976;-1.16509;1.77815]}+{35.23:[0.145974;-1.26002;1.77555]}+],
34.433,0.118525,-0.510214,1.87875,0.114159,-0.500724,1.79732,0.0433184,-0.951982,-0.0113714,-0.0231941,-0.952685,-0.0113714,[{34.53:[0.118491;-0.595923;1.79618]}+{34.63:[0.122823;-0.691121;1.79504]}+{34.73:[0.127155;-0.786319;1.7939]}+{34.83:[0.131486;-0.881517;1.79277]}+{34.93:[0.135818;-0.976716;1.79163]}+{35.03:[0.14015;-1.07191;1.79049]}+{35.13:[0.144482;-1.16711;1.78936]}+{35.23:[0.148814;-1.26231;1.78822]}+{35.33:[0.153146;-1.35751;1.78708]}+],
34.531,0.122922,-0.595997,1.87727,0.11825,-0.591392,1.79581,0.0457483,-0.957052,-0.0196426,0.0123198,-0.958066,-0.0196426,[{34.625:[0.122825;-0.687097;1.79385]}+{34.725:[0.1274;-0.782802;1.79189]}+{34.825:[0.131975;-0.878507;1.78992]}+{34.925:[0.13655;-0.974212;1.78796]}+{35.025:[0.141125;-1.06992;1.78599]}+{35.125:[0.145699;-1.16562;1.78403]}+{35.225:[0.150274;-1.26133;1.78206]}+{35.325:[0.154849;-1.35703;1.7801]}+{35.425:[0.159424;-1.45274;1.77814]}+],
34.631,0.12767,-0.682404,1.87503,0.123328,-0.692325,1.79316,0.0464285,-0.964864,-0.0449793,0.0127269,-0.965896,-0.0449793,[{34.73:[0.127971;-0.788811;1.78867]}+{34.83:[0.132613;-0.885298;1.78417]}+{34.93:[0.137256;-0.981784;1.77967]}+{35.03:[0.141899;-1.07827;1.77517]}+{35.13:[0.146542;-1.17476;1.77067]}+{35.23:[0.151185;-1.27124;1.76618]}+{35.33:[0.155828;-1.36773;1.76168]}+{35.43:[0.160471;-1.46422;1.75718]}+{35.53:[0.165113;-1.5607;1.75268]}+],
34.731,0.133126,-0.788749,1.87222,0.127901,-0.789115,1.79079,0.0463475,-0.970554,-0.038446,0.0124475,-0.97158,-0.038446,[{34.83:[0.132535;-0.88617;1.78694]}+{34.93:[0.13717;-0.983226;1.7831]}+{35.03:[0.141805;-1.08028;1.77925]}+{35.13:[0.14644;-1.17734;1.77541]}+{35.23:[0.151074;-1.27439;1.77157]}+{35.33:[0.155709;-1.37145;1.76772]}+{35.43:[0.160344;-1.4685;1.76388]}+{35.53:[0.164979;-1.56556;1.76003]}+{35.63:[0.169613;-1.66261;1.75619]}+],
34.831,0.137363,-0.876317,1.87048,0.132234,-0.886507,1.78893,0.0407341,-0.976735,-0.0132611,0.00662173,-0.977562,-0.0132611,[{34.93:[0.136308;-0.984181;1.7876]}+{35.03:[0.140381;-1.08185;1.78628]}+{35.13:[0.144455;-1.17953;1.78495]}+{35.23:[0.148528;-1.2772;1.78362]}+{35.33:[0.152601;-1.37487;1.7823]}+{35.43:[0.156675;-1.47255;1.78097]}+{35.53:[0.160748;-1.57022;1.77965]}+{35.63:[0.164822;-1.6679;1.77832]}+{35.73:[0.168895;-1.76557;1.77699]}+],
34.933,0.142033,-0.983816,1.86937,0.135816,-0.982434,1.78777,0.0353769,-0.981003,-0.0138933,0.0353769,-0.981003,-0.0138933,[{35.028:[0.139354;-1.08053;1.78638]}+{35.128:[0.142892;-1.17863;1.78499]}+{35.228:[0.14643;-1.27674;1.7836]}+{35.328:[0.149967;-1.37484;1.78221]}+{35.428:[0.153505;-1.47294;1.78082]}+{35.528:[0.157043;-1.57104;1.77944]}+{35.628:[0.16058;-1.66914;1.77805]}+{35.728:[0.164118;-1.76724;1.77666]}+{35.828:[0.167656;-1.86534;1.77527]}+],
35.031,0.145513,-1.07228,1.8688,0.140673,-1.08291,1.78707,0.04343,-0.989462,-0.015184,0.0779353,-0.987344,-0.015184,[{35.13:[0.145016;-1.18185;1.78555]}+{35.23:[0.149359;-1.2808;1.78403]}+{35.33:[0.153702;-1.37975;1.78252]}+{35.43:[0.158045;-1.47869;1.781]}+{35.53:[0.162388;-1.57764;1.77948]}+{35.63:[0.166731;-1.67659;1.77796]}+{35.73:[0.171074;-1.77553;1.77644]}+{35.83:[0.175417;-1.87448;1.77492]}+{35.93:[0.17976;-1.97342;1.77341]}+],
35.131,0.148587,-1.18143,1.86686,0.144263,-1.17723,1.78544,0.0316389,-0.996069,-0.0148468,0.066382,-0.994358,-0.0148468,[{35.225:[0.147427;-1.27684;1.78396]}+{35.325:[0.150591;-1.37644;1.78247]}+{35.425:[0.153755;-1.47605;1.78099]}+{35.525:[0.156919;-1.57566;1.7795]}+{35.625:[0.160083;-1.67526;1.77802]}+{35.725:[0.163247;-1.77487;1.77653]}+{35.825:[0.166411;-1.87448;1.77505]}+{35.925:[0.169575;-1.97408;1.77356]}+{36.025:[0.172739;-2.07369;1.77208]}+],
35.231,0.149577,-1.27108,1.86577,0.146571,-1.28177,1.78422,0.0161137,-0.994515,-0.0256312,0.0508119,-0.993347,-0.0256312,[{35.33:[0.148182;-1.38122;1.78165]}+{35.43:[0.149794;-1.48067;1.77909]}+{35.53:[0.151405;-1.58012;1.77653]}+{35.63:[0.153016;-1.67958;1.77396]}+{35.73:[0.154628;-1.77903;1.7714]}+{35.83:[0.156239;-1.87848;1.76884]}+{35.93:[0.157851;-1.97793;1.76627]}+{36.03:[0.159462;-2.07738;1.76371]}+{36.13:[0.161073;-2.17683;1.76115]}+],
35.331,0.149349,-1.38027,1.86522,0.147825,-1.38097,1.78361,0.00971056,-0.990056,-0.00768055,0.0442571,-0.989114,-0.00768055,[{35.43:[0.148796;-1.47998;1.78284]}+{35.53:[0.149767;-1.57898;1.78207]}+{35.63:[0.150738;-1.67799;1.7813]}+{35.73:[0.151709;-1.77699;1.78054]}+{35.83:[0.15268;-1.876;1.77977]}+{35.93:[0.153651;-1.975;1.779]}+{36.03:[0.154622;-2.07401;1.77823]}+{36.13:[0.155593;-2.17301;1.77746]}+{36.23:[0.156564;-2.27202;1.7767]}+],
35.431,0.148489,-1.4692,1.86502,0.147122,-1.47579,1.78355,-0.0103771,-0.986279,-0.00196842,0.041255,-0.985471,-0.00196842,[{35.526:[0.146084;-1.57442;1.78336]}+{35.626:[0.145046;-1.67305;1.78316]}+{35.726:[0.144008;-1.77167;1.78296]}+{35.826:[0.142971;-1.8703;1.78277]}+{35.926:[0.141933;-1.96893;1.78257]}+{36.026:[0.140895;-2.06756;1.78237]}+{36.126:[0.139858;-2.16619;1.78218]}+{36.226:[0.13882;-2.26481;1.78198]}+{36.326:[0.137782;-2.36344;1.78178]}+],
35.531,0.146886,-1.5776,1.86368,0.145707,-1.57825,1.78226,-0.016752,-0.984293,-0.00572062,0.0347848,-0.98382,-0.00572062,[{35.63:[0.144032;-1.67668;1.78169]}+{35.73:[0.142356;-1.77511;1.78111]}+{35.83:[0.140681;-1.87354;1.78054]}+{35.93:[0.139006;-1.97197;1.77997]}+{36.03:[0.137331;-2.0704;1.7794]}+{36.13:[0.135656;-2.16883;1.77882]}+{36.23:[0.13398;-2.26726;1.77825]}+{36.33:[0.132305;-2.36569;1.77768]}+{36.43:[0.13063;-2.46411;1.77711]}+],
35.631,0.144542,-1.67588,1.86268,0.143766,-1.67655,1.78137,-0.0216273,-0.983673,-0.00481768,0.0298839,-0.983457,-0.00481768,[{35.73:[0.141603;-1.77492;1.78088]}+{35.83:[0.139441;-1.87329;1.7804]}+{35.93:[0.137278;-1.97165;1.77992]}+{36.03:[0.135115;-2.07002;1.77944]}+{36.13:[0.132953;-2.16839;1.77896]}+{36.23:[0.13079;-2.26675;1.77847]}+{36.33:[0.128627;-2.36512;1.77799]}+{36.43:[0.126464;-2.46349;1.77751]}+{36.53:[0.124302;-2.56186;1.77703]}+],
35.731,0.14119,-1.77447,1.86098,0.141281,-1.77523,1.77957,-0.0267438,-0.990238,-0.0367717,0.0251179,-0.99028,-0.0367717,[{35.83:[0.138607;-1.87425;1.77589]}+{35.93:[0.135933;-1.97328;1.77221]}+{36.03:[0.133258;-2.0723;1.76854]}+{36.13:[0.130584;-2.17133;1.76486]}+{36.23:[0.12791;-2.27035;1.76118]}+{36.33:[0.125235;-2.36937;1.75751]}+{36.43:[0.122561;-2.4684;1.75383]}+{36.53:[0.119886;-2.56742;1.75015]}+{36.63:[0.117212;-2.66644;1.74647]}+],
35.831,0.137494,-1.87377,1.85872,0.138733,-1.87463,1.77747,-0.0241361,-0.996332,-0.00954739,0.028041,-0.99623,-0.00954739,[{35.93:[0.136319;-1.97427;1.77651]}+{36.03:[0.133906;-2.0739;1.77556]}+{36.13:[0.131492;-2.17353;1.7746]}+{36.23:[0.129078;-2.27317;1.77365]}+{36.33:[0.126665;-2.3728;1.77269]}+{36.43:[0.124251;-2.47243;1.77174]}+{36.53:[0.121838;-2.57207;1.77078]}+{36.63:[0.119424;-2.6717;1.76983]}+{36.73:[0.11701;-2.77133;1.76887]}+],
35.936,0.133318,-1.98349,1.85665,0.136272,-1.97444,1.77571,-0.0246339,-0.997923,-0.0284577,0.0276271,-0.997844,-0.0284577,[{36.029:[0.133828;-2.07326;1.77466]}+{36.129:[0.131359;-2.17307;1.77357]}+{36.229:[0.12889;-2.27289;1.77248]}+{36.329:[0.126422;-2.37271;1.77139]}+{36.429:[0.123953;-2.47253;1.7703]}+{36.529:[0.121484;-2.57234;1.76921]}+{36.629:[0.119015;-2.67216;1.76813]}+{36.729:[0.116547;-2.77198;1.76704]}+{36.829:[0.114078;-2.8718;1.76595]}+],
36.031,0.129698,-2.07304,1.85516,0.133,-2.07395,1.77405,-0.0415103,-0.993063,-0.028388,0.0278634,-0.99354,-0.028388,[{36.13:[0.128849;-2.17326;1.77122]}+{36.23:[0.124698;-2.27257;1.76838]}+{36.33:[0.120547;-2.37187;1.76554]}+{36.43:[0.116396;-2.47118;1.7627]}+{36.53:[0.112245;-2.57049;1.75986]}+{36.63:[0.108094;-2.66979;1.75702]}+{36.73:[0.103943;-2.7691;1.75418]}+{36.83:[0.0997917;-2.8684;1.75134]}+{36.93:[0.0956407;-2.96771;1.7485]}+],
