Time, Measurement
454.041107,0.334000
454.061554,0.335000
454.076447,0.336000
454.101654,0.338000
454.121796,0.340000
454.141754,0.342000
454.161926,0.342000
454.177002,0.342000
454.202209,0.341000
454.222473,0.338000
454.242432,0.339000
454.262665,0.339000
454.272736,0.339000
454.302856,0.342000
454.322998,0.341000
454.343658,0.338000
454.363281,0.339000
454.383942,0.339000
454.398590,0.339000
454.423737,0.341000
454.443848,0.340000
454.463989,0.338000
454.484283,0.338000
454.504242,0.340000
454.524445,0.341000
454.544678,0.343000
454.559875,0.341000
454.579956,0.341000
454.604950,0.341000
454.625061,0.342000
454.640381,0.343000
454.660309,0.342000
454.676147,0.339000
454.700623,0.339000
454.720886,0.340000
454.741180,0.340000
454.755981,0.341000
454.781281,0.342000
454.801331,0.343000
454.821442,0.343000
454.841614,0.338000
454.861755,0.334000
454.881897,0.332000
454.896973,0.333000
454.917175,0.334000
454.942383,0.336000
454.962433,0.337000
454.982513,0.338000
455.002838,0.340000
455.022858,0.342000
455.043030,0.342000
455.058044,0.343000
455.083221,0.338000
455.093323,0.338000
455.118530,0.341000
455.143707,0.341000
455.164001,0.343000
455.168884,0.343000
455.199371,0.344000
455.224182,0.345000
455.244354,0.346000
455.264587,0.347000
455.284637,0.348000
455.304779,0.349000
455.324829,0.349000
455.345032,0.344000
455.365234,0.340000
455.380280,0.337000
455.405365,0.331000
455.420471,0.331000
455.445740,0.332000
455.465851,0.332000
455.480957,0.331000
455.501068,0.327000
455.526367,0.324000
455.546417,0.323000
455.566498,0.323000
455.571503,0.322000
455.712433,0.321000
455.742645,0.325000
455.757935,0.326000
455.767975,0.327000
455.772919,0.327000
455.949280,0.333000
455.954193,0.333000
456.014709,0.335000
456.160675,0.333000
456.165588,0.333000
456.175751,0.333000
456.291412,0.326000
456.311768,0.328000
456.316589,0.328000
456.447723,0.326000
456.452850,0.325000
456.462585,0.324000
456.472626,0.323000
456.482880,0.324000
456.638733,0.330000
456.835175,0.337000
456.840149,0.337000
457.001221,0.341000
457.278381,0.350000
457.636261,0.349000
457.640869,0.349000
458.013336,0.366000
458.033447,0.367000
458.310211,0.353000
458.330414,0.349000
458.350433,0.349000
458.522949,0.341000
458.526733,0.340000
458.698059,0.334000
458.703003,0.333000
458.707916,0.332000
458.874054,0.327000
458.884064,0.327000
459.040131,0.319000
459.045929,0.319000
459.090546,0.323000
459.105713,0.324000
459.130981,0.321000
459.151031,0.319000
459.196930,0.322000
459.206909,0.320000
459.251831,0.311000
459.342377,0.307000
459.473450,0.314000
459.518463,0.309000
459.538635,0.309000
459.573944,0.310000
459.609192,0.304000
459.654694,0.304000
459.670197,0.303000
459.689636,0.302000
459.710144,0.303000
459.730255,0.304000
459.755127,0.302000
459.775269,0.300000
459.795563,0.296000
459.810455,0.295000
459.835754,0.291000
459.850739,0.293000
459.871002,0.295000
459.886078,0.295000
459.911224,0.292000
459.931305,0.289000
459.951477,0.289000
459.976654,0.289000
459.986908,0.288000
460.016876,0.291000
460.037018,0.293000
460.052216,0.292000
460.072327,0.291000
460.092377,0.290000
460.112579,0.287000
460.132935,0.283000
460.153046,0.280000
460.167969,0.277000
460.188354,0.275000
460.208191,0.272000
460.233429,0.271000
460.253906,0.273000
460.273682,0.270000
460.293732,0.269000
460.303833,0.271000
460.334045,0.273000
460.354248,0.275000
460.374268,0.277000
460.394562,0.278000
460.415009,0.275000
460.434784,0.274000
460.464996,0.270000
460.515442,0.267000
460.535431,0.270000
460.545807,0.269000
460.575836,0.264000
460.595917,0.262000
460.615997,0.262000
460.631226,0.261000
460.651245,0.258000
460.676666,0.254000
460.691528,0.252000
460.716705,0.250000
460.736847,0.252000
460.756989,0.253000
460.777039,0.248000
460.797241,0.245000
460.817383,0.242000
460.832642,0.239000
460.852722,0.236000
460.872955,0.234000
460.897919,0.232000
460.918121,0.231000
460.933167,0.230000
460.958344,0.233000
460.978485,0.236000
460.998840,0.237000
461.013794,0.239000
461.028809,0.240000
461.053955,0.243000
461.079254,0.246000
461.094482,0.247000
461.114532,0.249000
461.134552,0.250000
461.159912,0.249000
461.174927,0.247000
461.195679,0.246000
461.215424,0.248000
461.235535,0.251000
461.255432,0.252000
461.275635,0.254000
461.295959,0.256000
461.310699,0.258000
461.336029,0.260000
461.356262,0.262000
461.376221,0.264000
461.396423,0.267000
461.416504,0.268000
461.436798,0.269000
461.457062,0.271000
461.477020,0.272000
461.497070,0.272000
461.517334,0.274000
461.532410,0.275000
461.557587,0.277000
461.572540,0.278000
461.597931,0.281000
461.618042,0.282000
461.638184,0.283000
461.658203,0.281000
461.678436,0.283000
461.698425,0.286000
461.718933,0.288000
461.738739,0.290000
461.754059,0.292000
461.774139,0.294000
461.799652,0.296000
461.819458,0.297000
461.839569,0.298000
461.859558,0.298000
461.874603,0.299000
461.899841,0.300000
461.920135,0.301000
461.935089,0.301000
461.955200,0.303000
461.980591,0.305000
462.000732,0.305000
462.010742,0.306000
462.035736,0.304000
462.060913,0.304000
462.076294,0.305000
462.096161,0.307000
462.121460,0.308000
462.136597,0.309000
462.156586,0.310000
462.176849,0.312000
462.202026,0.313000
462.216980,0.311000
462.237305,0.310000
462.257294,0.310000
462.277405,0.313000
462.292603,0.312000
462.317657,0.311000
462.337952,0.313000
462.357941,0.315000
462.378113,0.315000
462.398254,0.316000
462.418396,0.316000
462.438599,0.317000
462.458710,0.319000
462.478821,0.319000
462.493927,0.320000
462.519073,0.322000
462.539307,0.322000
462.554413,0.324000
462.579529,0.325000
462.599731,0.326000
462.619751,0.324000
462.639954,0.323000
462.660034,0.325000
462.680145,0.322000
462.700409,0.320000
462.715454,0.320000
462.740601,0.321000
462.755707,0.321000
462.775879,0.317000
462.796173,0.313000
462.821259,0.309000
462.841278,0.309000
462.856415,0.310000
462.876587,0.310000
462.901672,0.305000
462.921967,0.302000
462.941956,0.298000
462.957245,0.295000
462.982422,0.290000
462.992401,0.289000
463.022675,0.284000
463.042664,0.282000
463.052917,0.283000
463.078308,0.282000
463.103180,0.277000
463.123383,0.273000
463.143311,0.269000
463.163544,0.266000
463.168701,0.265000
463.173553,0.264000
463.223907,0.256000
463.239044,0.254000
463.259186,0.251000
463.279327,0.247000
463.299469,0.249000
463.319641,0.250000
463.334717,0.251000
463.359924,0.253000
463.380371,0.254000
463.395111,0.255000
463.415253,0.257000
463.440430,0.253000
463.460541,0.249000
463.475861,0.247000
463.501007,0.243000
463.521027,0.240000
463.541565,0.241000
463.561249,0.242000
463.581390,0.238000
463.596466,0.236000
463.621735,0.233000
463.641937,0.235000
463.656952,0.235000
463.682098,0.235000
463.697266,0.232000
463.722382,0.228000
463.742615,0.230000
463.757690,0.232000
463.782806,0.234000
463.803101,0.235000
463.818024,0.237000
463.843231,0.234000
463.863342,0.231000
463.873383,0.232000
463.898682,0.234000
463.923798,0.236000
463.943909,0.235000
463.958984,0.236000
463.984222,0.238000
464.004333,0.241000
464.024872,0.243000
464.044586,0.245000
464.064911,0.248000
464.079773,0.249000
464.105103,0.250000
464.120087,0.251000
464.145294,0.249000
464.165527,0.246000
464.180725,0.244000
464.200867,0.242000
464.225952,0.239000
464.240875,0.238000
464.266144,0.240000
464.286255,0.242000
464.301453,0.244000
464.321411,0.245000
464.341644,0.246000
464.361877,0.248000
464.381989,0.247000
464.402222,0.249000
464.422363,0.251000
464.442322,0.253000
464.457733,0.251000
464.482513,0.247000
464.502716,0.247000
464.517883,0.248000
464.543030,0.246000
