Time, Measurement
454.041107,-0.163000
454.061554,-0.160000
454.076447,-0.157000
454.101654,-0.155000
454.121796,-0.156000
454.141754,-0.158000
454.161926,-0.161000
454.177002,-0.163000
454.202209,-0.165000
454.222473,-0.166000
454.242432,-0.164000
454.262665,-0.166000
454.272736,-0.167000
454.302856,-0.165000
454.322998,-0.166000
454.343658,-0.167000
454.363281,-0.169000
454.383942,-0.173000
454.398590,-0.173000
454.423737,-0.169000
454.443848,-0.169000
454.463989,-0.170000
454.484283,-0.172000
454.504242,-0.175000
454.524445,-0.176000
454.544678,-0.178000
454.559875,-0.180000
454.579956,-0.179000
454.604950,-0.180000
454.625061,-0.179000
454.640381,-0.178000
454.660309,-0.180000
454.676147,-0.182000
454.700623,-0.185000
454.720886,-0.187000
454.741180,-0.189000
454.755981,-0.191000
454.781281,-0.188000
454.801331,-0.186000
454.821442,-0.188000
454.841614,-0.190000
454.861755,-0.186000
454.881897,-0.189000
454.896973,-0.190000
454.917175,-0.191000
454.942383,-0.194000
454.962433,-0.195000
454.982513,-0.191000
455.002838,-0.188000
455.022858,-0.190000
455.043030,-0.188000
455.058044,-0.185000
455.083221,-0.187000
455.093323,-0.187000
455.118530,-0.183000
455.143707,-0.184000
455.164001,-0.181000
455.168884,-0.180000
455.199371,-0.179000
455.224182,-0.181000
455.244354,-0.183000
455.264587,-0.182000
455.284637,-0.180000
455.304779,-0.184000
455.324829,-0.185000
455.345032,-0.185000
455.365234,-0.186000
455.380280,-0.183000
455.405365,-0.178000
455.420471,-0.176000
455.445740,-0.171000
455.465851,-0.168000
455.480957,-0.165000
455.501068,-0.161000
455.526367,-0.163000
455.546417,-0.161000
455.566498,-0.159000
455.571503,-0.159000
455.712433,-0.154000
455.742645,-0.150000
455.757935,-0.152000
455.767975,-0.153000
455.772919,-0.153000
455.949280,-0.144000
455.954193,-0.144000
456.014709,-0.151000
456.160675,-0.135000
456.165588,-0.134000
456.175751,-0.135000
456.291412,-0.130000
456.311768,-0.128000
456.316589,-0.128000
456.447723,-0.131000
456.452850,-0.132000
456.462585,-0.133000
456.472626,-0.134000
456.482880,-0.135000
456.638733,-0.146000
456.835175,-0.164000
456.840149,-0.163000
457.001221,-0.170000
457.278381,-0.156000
457.636261,-0.139000
457.640869,-0.139000
458.013336,-0.134000
458.033447,-0.130000
458.310211,-0.128000
458.330414,-0.126000
458.350433,-0.128000
458.522949,-0.149000
458.526733,-0.149000
458.698059,-0.163000
458.703003,-0.163000
458.707916,-0.164000
458.874054,-0.177000
458.884064,-0.178000
459.040131,-0.187000
459.045929,-0.187000
459.090546,-0.178000
459.105713,-0.175000
459.130981,-0.169000
459.151031,-0.166000
459.196930,-0.170000
459.206909,-0.169000
459.251831,-0.170000
459.342377,-0.164000
459.473450,-0.156000
459.518463,-0.153000
459.538635,-0.153000
459.573944,-0.146000
459.609192,-0.141000
459.654694,-0.142000
459.670197,-0.139000
459.689636,-0.135000
459.710144,-0.135000
459.730255,-0.137000
459.755127,-0.137000
459.775269,-0.135000
459.795563,-0.137000
459.810455,-0.139000
459.835754,-0.141000
459.850739,-0.139000
459.871002,-0.136000
459.886078,-0.133000
459.911224,-0.131000
459.931305,-0.129000
459.951477,-0.132000
459.976654,-0.135000
459.986908,-0.135000
460.016876,-0.131000
460.037018,-0.130000
460.052216,-0.133000
460.072327,-0.134000
460.092377,-0.133000
460.112579,-0.130000
460.132935,-0.127000
460.153046,-0.124000
460.167969,-0.122000
460.188354,-0.124000
460.208191,-0.126000
460.233429,-0.128000
460.253906,-0.128000
460.273682,-0.128000
460.293732,-0.131000
460.303833,-0.131000
460.334045,-0.132000
