Time;Objective;Position
1.099609;0.500000;-0.000375
1.304199;0.500000;-0.009868
1.509766;0.500000;-0.043997
1.709961;0.500000;-0.069223
1.915039;0.500000;-0.078245
2.116211;0.500000;-0.069362
2.316895;0.500000;-0.047857
2.520020;0.500000;-0.017849
2.729980;0.500000;0.018292
2.930176;0.500000;0.054638
3.135254;0.500000;0.090845
3.335449;0.500000;0.123039
3.540039;0.500000;0.153335
3.743652;0.500000;0.180723
3.944824;0.500000;0.205495
4.154785;0.500000;0.231102
4.354980;0.500000;0.256373
4.560059;0.500000;0.278211
4.760254;0.500000;0.296313
4.964844;0.500000;0.312030
5.165039;0.500000;0.326017
5.370117;0.500000;0.341356
5.570312;0.500000;0.357626
5.774902;0.500000;0.373999
5.979004;0.500000;0.392903
6.183105;0.500000;0.409187
6.385254;0.500000;0.422549
6.589844;0.500000;0.434264
6.790039;0.500000;0.443885
6.995117;0.500000;0.454028
7.195312;0.500000;0.462019
7.399902;0.500000;0.468223
7.609863;0.500000;0.474381
7.810059;0.500000;0.480541
8.013672;0.500000;0.487337
8.215332;0.500000;0.492609
8.418945;0.500000;0.496520
8.619141;0.500000;0.499019
8.820312;0.500000;0.501932
9.023926;0.500000;0.507189
9.225098;0.500000;0.511555
9.430176;0.500000;0.512918
9.630371;0.500000;0.512133
9.834961;0.500000;0.509520
10.035156;0.500000;0.505505
10.240234;0.500000;0.502609
10.440430;0.500000;0.502339
10.645020;0.500000;0.505680
10.845215;0.500000;0.511041
11.050293;0.500000;0.513322
11.250488;0.500000;0.512025
11.455078;0.500000;0.509971
11.659668;0.500000;0.508800
11.869141;0.500000;0.508304
12.074219;0.500000;0.506565
12.274414;0.500000;0.505982
12.479004;0.500000;0.508793
12.679199;0.500000;0.510694
12.879883;0.500000;0.510842
13.080078;0.500000;0.511326
13.285156;0.500000;0.514027
13.485352;0.500000;0.516830
13.689941;0.500000;0.520872
13.890137;0.500000;0.526465
14.090332;0.500000;0.531342
14.291992;0.500000;0.534852
14.495117;0.500000;0.537327
14.703125;0.500000;0.536546
14.903809;0.500000;0.534534
15.113281;0.500000;0.532775
15.320312;0.500000;0.532886
15.521973;0.500000;0.535552
15.725098;0.500000;0.538441
15.929688;0.500000;0.539630
16.129883;0.500000;0.539979
16.334961;0.500000;0.538864
16.535156;0.500000;0.537254
16.735352;0.500000;0.537951
16.939941;0.500000;0.540982
17.140137;0.500000;0.544517
17.354980;0.500000;0.544926
