Time;Objective;Position
1.179688;0.500000;0.000224
1.379883;0.500000;0.014280
1.580078;0.500000;0.037475
1.784668;0.500000;0.063985
1.984863;0.500000;0.093138
2.189941;0.500000;0.120136
2.390137;0.500000;0.144172
2.594727;0.500000;0.167951
2.794922;0.500000;0.191956
2.999023;0.500000;0.216341
3.199219;0.500000;0.239259
3.402832;0.500000;0.258970
3.604004;0.500000;0.275552
3.804688;0.500000;0.294802
4.008789;0.500000;0.316159
4.209961;0.500000;0.334087
4.410156;0.500000;0.348664
4.614746;0.500000;0.360641
4.814941;0.500000;0.373260
5.015137;0.500000;0.388240
5.219727;0.500000;0.401061
5.419922;0.500000;0.406118
5.625000;0.500000;0.410355
5.825195;0.500000;0.415586
6.026855;0.500000;0.422989
6.229004;0.500000;0.430534
6.429688;0.500000;0.434009
6.629883;0.500000;0.434028
6.830078;0.500000;0.433003
7.032715;0.500000;0.432603
7.235352;0.500000;0.435445
7.437012;0.500000;0.439976
7.640137;0.500000;0.446131
7.843750;0.500000;0.451844
8.044922;0.500000;0.452412
8.250000;0.500000;0.445035
8.453613;0.500000;0.439909
8.655762;0.500000;0.438416
8.855957;0.500000;0.437818
9.060059;0.500000;0.438466
9.264648;0.500000;0.441563
9.464844;0.500000;0.442796
9.665039;0.500000;0.444867
9.870117;0.500000;0.447481
10.071289;0.500000;0.449925
10.274902;0.500000;0.454045
10.475098;0.500000;0.456519
10.679688;0.500000;0.459090
10.884766;0.500000;0.461440
11.084961;0.500000;0.462526
11.290039;0.500000;0.463504
11.495117;0.500000;0.466524
11.695312;0.500000;0.467937
11.898926;0.500000;0.469038
12.100098;0.500000;0.472074
12.305176;0.500000;0.475961
12.508789;0.500000;0.478588
12.713867;0.500000;0.484416
12.914551;0.500000;0.491515
13.134766;0.500000;0.496882
13.334961;0.500000;0.499255
13.540039;0.500000;0.503806
13.740234;0.500000;0.508249
13.944824;0.500000;0.511323
14.145020;0.500000;0.512557
14.350098;0.500000;0.510395
14.550293;0.500000;0.506582
