Time, Measurement
454.041107,5.134000
454.061554,5.133000
454.076447,5.134000
454.101654,5.134000
454.121796,5.134000
454.141754,5.133000
454.161926,5.133000
454.177002,5.134000
454.202209,5.134000
454.222473,5.134000
454.242432,5.134000
454.262665,5.133000
454.272736,5.133000
454.302856,5.133000
454.322998,5.133000
454.343658,5.134000
454.363281,5.134000
454.383942,5.134000
454.398590,5.134000
454.423737,5.135000
454.443848,5.136000
454.463989,5.136000
454.484283,5.138000
454.504242,5.138000
454.524445,5.138000
454.544678,5.138000
454.559875,5.137000
454.579956,5.138000
454.604950,5.138000
454.625061,5.138000
454.640381,5.138000
454.660309,5.138000
454.676147,5.138000
454.700623,5.139000
454.720886,5.140000
454.741180,5.140000
454.755981,5.139000
454.781281,5.139000
454.801331,5.140000
454.821442,5.140000
454.841614,5.140000
454.861755,5.140000
454.881897,5.140000
454.896973,5.141000
454.917175,5.142000
454.942383,5.142000
454.962433,5.141000
454.982513,5.142000
455.002838,5.141000
455.022858,5.142000
455.043030,5.141000
455.058044,5.141000
455.083221,5.140000
455.093323,5.140000
455.118530,5.140000
455.143707,5.139000
455.164001,5.139000
455.168884,5.139000
455.199371,5.138000
455.224182,5.138000
455.244354,5.140000
455.264587,5.140000
455.284637,5.141000
455.304779,5.141000
455.324829,5.141000
455.345032,5.142000
455.365234,5.144000
455.380280,5.143000
455.405365,5.144000
455.420471,5.144000
455.445740,5.145000
455.465851,5.145000
455.480957,5.145000
455.501068,5.145000
455.526367,5.146000
455.546417,5.146000
455.566498,5.147000
455.571503,5.147000
455.712433,5.148000
455.742645,5.148000
455.757935,5.149000
455.767975,5.149000
455.772919,5.149000
455.949280,5.150000
455.954193,5.150000
456.014709,5.150000
456.160675,5.152000
456.165588,5.152000
456.175751,5.152000
456.291412,5.153000
456.311768,5.154000
456.316589,5.154000
456.447723,5.157000
456.452850,5.157000
456.462585,5.157000
456.472626,5.157000
456.482880,5.157000
456.638733,5.161000
456.835175,5.164000
456.840149,5.164000
457.001221,5.167000
457.278381,5.166000
457.636261,5.167000
457.640869,5.167000
458.013336,5.173000
458.033447,5.174000
458.310211,5.176000
458.330414,5.176000
458.350433,5.176000
458.522949,5.175000
458.526733,5.175000
458.698059,5.177000
458.703003,5.177000
458.707916,5.177000
458.874054,5.178000
458.884064,5.178000
459.040131,5.181000
459.045929,5.181000
459.090546,5.182000
459.105713,5.183000
459.130981,5.184000
459.151031,5.184000
459.196930,5.185000
459.206909,5.185000
459.251831,5.187000
459.342377,5.187000
459.473450,5.187000
459.518463,5.185000
459.538635,5.185000
459.573944,5.185000
459.609192,5.186000
459.654694,5.186000
459.670197,5.185000
459.689636,5.185000
459.710144,5.186000
459.730255,5.186000
459.755127,5.185000
459.775269,5.185000
459.795563,5.185000
459.810455,5.186000
459.835754,5.186000
459.850739,5.186000
459.871002,5.187000
459.886078,5.187000
459.911224,5.189000
459.931305,5.188000
459.951477,5.188000
459.976654,5.188000
459.986908,5.189000
460.016876,5.190000
460.037018,5.189000
460.052216,5.190000
460.072327,5.190000
460.092377,5.191000
460.112579,5.192000
460.132935,5.192000
460.153046,5.192000
460.167969,5.191000
460.188354,5.191000
460.208191,5.192000
460.233429,5.192000
460.253906,5.192000
460.273682,5.191000
460.293732,5.192000
460.303833,5.193000
460.334045,5.193000
460.354248,5.193000
460.374268,5.193000
460.394562,5.194000
460.415009,5.194000
460.434784,5.195000
460.464996,5.196000
460.515442,5.195000
460.535431,5.195000
460.545807,5.195000
460.575836,5.195000
460.595917,5.195000
460.615997,5.195000
460.631226,5.195000
460.651245,5.193000
460.676666,5.194000
460.691528,5.194000
460.716705,5.195000
460.736847,5.195000
460.756989,5.194000
460.777039,5.193000
460.797241,5.194000
460.817383,5.194000
460.832642,5.195000
460.852722,5.195000
460.872955,5.196000
460.897919,5.196000
460.918121,5.197000
460.933167,5.197000
460.958344,5.198000
460.978485,5.199000
460.998840,5.201000
461.013794,5.201000
461.028809,5.201000
461.053955,5.200000
461.079254,5.199000
461.094482,5.199000
461.114532,5.199000
461.134552,5.199000
461.159912,5.199000
461.174927,5.200000
461.195679,5.200000
461.215424,5.200000
461.235535,5.201000
461.255432,5.201000
461.275635,5.201000
461.295959,5.202000
461.310699,5.202000
461.336029,5.204000
461.356262,5.203000
461.376221,5.202000
461.396423,5.203000
461.416504,5.203000
461.436798,5.203000
461.457062,5.204000
461.477020,5.203000
461.497070,5.203000
