Time;Objective;Position
0.967285;1.000000;0.000000
1.169922;1.000000;0.052360
1.370117;1.000000;0.157080
1.580078;1.000000;0.331613
1.780273;1.000000;0.506145
1.985352;1.000000;0.645772
2.185547;1.000000;0.750492
2.390137;1.000000;0.837758
2.619141;1.000000;0.890118
2.820312;1.000000;0.925025
3.020508;1.000000;0.942478
3.225098;1.000000;0.959931
3.426270;1.000000;0.977384
3.630371;1.000000;0.977384
3.830566;1.000000;0.994838
4.035156;1.000000;0.994838
4.239258;1.000000;0.994838
4.445312;1.000000;0.994838
4.645508;1.000000;0.994838
4.850098;1.000000;0.994838
5.050293;1.000000;0.994838
5.255371;1.000000;0.994838
5.455566;1.000000;0.994838
5.660156;1.000000;0.994838
5.861816;1.000000;0.994838
6.065430;1.000000;0.994838
6.269043;1.000000;0.994838
6.480469;1.000000;0.994838
6.685059;1.000000;0.994838
6.885254;1.000000;1.012291
7.090332;1.000000;0.994838
7.293945;1.000000;1.012291
7.495117;1.000000;1.012291
7.695312;1.000000;0.994838
7.900391;1.000000;1.012291
8.100586;1.000000;0.994838
8.303223;1.000000;0.994838
8.503418;1.000000;0.994838
8.705078;1.000000;1.012291
8.909180;1.000000;1.012291
9.110352;1.000000;0.994838
9.310547;1.000000;0.994838
9.515137;1.000000;1.012291
9.720215;1.000000;0.994838
9.924316;1.000000;0.994838
10.125488;1.000000;0.994838
10.330078;1.000000;0.994838
10.530273;1.000000;0.994838
10.735352;1.000000;0.994838
10.935547;1.000000;0.994838
11.144531;1.000000;0.994838
11.348145;1.000000;0.994838
11.550293;1.000000;0.994838
11.754883;1.000000;0.994838
11.959473;1.000000;0.994838
12.160156;1.000000;0.994838
12.360352;1.000000;0.994838
12.560547;1.000000;0.994838
12.765137;1.000000;0.994838
12.965332;1.000000;0.994838
13.170410;1.000000;0.994838
13.370605;1.000000;0.994838
13.575195;1.000000;0.994838
13.775391;1.000000;0.994838
13.980469;1.000000;0.994838
14.181641;1.000000;0.994838
14.385254;1.000000;0.994838
14.585449;1.000000;0.994838
14.790039;1.000000;0.994838
14.990234;1.000000;0.994838
15.195312;1.000000;0.994838
15.395508;1.000000;0.994838
15.600098;1.000000;0.994838
15.800293;1.000000;0.994838
16.004395;1.000000;0.994838
