Time;Objective;Position
0.967285;0.500000;0.001568
1.169922;0.500000;0.171157
1.370117;0.500000;0.401537
1.580078;0.500000;0.618627
1.780273;0.500000;0.740486
1.985352;0.500000;0.783012
2.185547;0.500000;0.769929
2.390137;0.500000;0.723817
2.619141;0.500000;0.655069
2.820312;0.500000;0.586931
3.020508;0.500000;0.534632
3.225098;0.500000;0.493278
3.426270;0.500000;0.468216
3.630371;0.500000;0.455926
3.830566;0.500000;0.455293
4.035156;0.500000;0.460898
4.239258;0.500000;0.466858
4.445312;0.500000;0.471502
4.645508;0.500000;0.477079
4.850098;0.500000;0.482936
5.050293;0.500000;0.491642
5.255371;0.500000;0.499353
5.455566;0.500000;0.505229
5.660156;0.500000;0.508689
5.861816;0.500000;0.512009
6.065430;0.500000;0.515985
6.269043;0.500000;0.514556
6.480469;0.500000;0.511622
6.685059;0.500000;0.506742
6.885254;0.500000;0.501569
7.090332;0.500000;0.498058
7.293945;0.500000;0.494058
7.495117;0.500000;0.486477
7.695312;0.500000;0.479378
7.900391;0.500000;0.473732
8.100586;0.500000;0.474725
8.303223;0.500000;0.481378
8.503418;0.500000;0.485229
8.705078;0.500000;0.490748
8.909180;0.500000;0.491544
9.110352;0.500000;0.491936
9.310547;0.500000;0.495115
9.515137;0.500000;0.491540
9.720215;0.500000;0.487380
9.924316;0.500000;0.485196
10.125488;0.500000;0.481249
10.330078;0.500000;0.480540
10.530273;0.500000;0.479989
10.735352;0.500000;0.481228
10.935547;0.500000;0.481563
11.144531;0.500000;0.485415
11.348145;0.500000;0.487602
11.550293;0.500000;0.490207
11.754883;0.500000;0.494132
11.959473;0.500000;0.497790
12.160156;0.500000;0.503700
12.360352;0.500000;0.507438
12.560547;0.500000;0.512327
12.765137;0.500000;0.514745
12.965332;0.500000;0.515115
13.170410;0.500000;0.515497
13.370605;0.500000;0.514019
13.575195;0.500000;0.511080
13.775391;0.500000;0.509250
13.980469;0.500000;0.508077
14.181641;0.500000;0.506566
14.385254;0.500000;0.493106
14.585449;0.500000;0.447940
14.790039;0.500000;0.385962
14.990234;0.500000;0.320387
15.195312;0.500000;0.262652
15.395508;0.500000;0.216243
15.600098;0.500000;0.182924
15.800293;0.500000;0.162819
16.004395;0.500000;0.139416
